file,status,rows_parsed,rows_loaded,error_limit,errors_seen,first_error,first_error_line,first_error_character,first_error_column_name
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00004.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00007.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00008.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00001.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00013.json,LOADED,195,195,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00002.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00012.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00003.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00010.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00006.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00009.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00005.json,LOADED,1000,1000,1,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/close_crm_users_raw_20260730_224707_part_00011.json,LOADED,1000,1000,1,0,,,,
