REPORTING_WEEK,STRATEGY_CALLS,STRATEGY_CALL_TAKEN,OFFERS_PRESENTED,TOTAL_SALES,TOTAL_CONTRACT_VALUE,TOTAL_CASH_COLLECTED
2026-31,202,105,95,4,45000,2500
2026-30,220,134,118,11,106000,66430
2026-29,210,112,93,14,176500,71680
2026-28,301,118,98,10,111500,87029.7
2026-27,733,375,214,39,212000,86240
2026-26,194,98,81,13,126000,69000
2026-25,396,196,152,16,141000,76200
2026-24,312,142,126,12,161100,43740
2026-23,386,218,187,24,196000,61440
2026-22,297,131,112,21,259995,173200
2026-21,248,59,51,11,196500,71550
2026-20,223,54,53,13,191498,66200
2026-19,331,37,34,12,115000,54720
2026-18,272,0,0,9,25900,18220
2026-17,486,0,0,9,30000,8350
2026-16,316,0,0,12,84000,20840
2026-15,270,0,0,6,39000,14600
2026-14,223,0,0,10,17000,17000
2026-13,209,0,0,13,54998,46840
2026-12,87,0,0,12,26000,2000
