LAYER,OBJECT_NAME,ROW_COUNT
BRONZE,CLOSE_CRM_USERS_RAW,20963
BRONZE,CUSTOM_ACTIVITIES_RAW,18
BRONZE,LEADS_RAW,397842
BRONZE,LEAD_ACTIVITIES_RAW,379946
GOLD,ALL_STRATEGIES_DETAILS,4937
GOLD,INBOUND_STRATEGIES_BOOKED,1125
GOLD,OUTBOUND_PROSPECT_DIALS,11432
GOLD,OUTBOUND_STRATEGIES_BOOKED,2408
GOLD,SALES_DETAILS,270
REPORT,CLOSER_REPORT,48
REPORT,INBOUND_SETTER_REPORT,412
REPORT,OBJECTIONS_FACED_REPORT,507
REPORT,OUTBOUND_SETTER_REPORT,394
SILVER,CLOSE_CRM_USERS_PROCESSED,100
SILVER,CUSTOM_ACTIVITIES,25
SILVER,CUSTOM_ACTIVITIES_ALL_LEADS_DETAILS,33628
SILVER,CUSTOM_ACTIVITIES_TRANSIENT,18
SILVER,LEADS_ACTIVITIES_SUMMARY,1063628
SILVER,LEADS_ACTIVITIES_SUMMARY_TRANSIENT,1063628
SILVER,LEAD_ACTIVITIES_EMAIL,179238
SILVER,LEAD_ACTIVITIES_PROCESSED,1063628
SILVER,LEAD_ACTIVITIES_PROCESSED_TRANSIENT,7247395
