name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain,write default
CLOSER_NAME,VARCHAR(16777216),COLUMN,N,,N,N,,,,,,
CALL_YEAR_MONTH,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CALL_BOOKED,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
ADMIN_CANCEL,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
CANCEL_NURTURE,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
CANCEL_NOT_INTEREST,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
TOTAL_CANCEL,"NUMBER(15,0)",COLUMN,Y,,N,N,,,,,,
NO_SHOW,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
STRTGY_CALL_SHW,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
LOST,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
SALE,"NUMBER(30,0)",COLUMN,Y,,N,N,,,,,,
AVG_VALUE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
CASH_COLLECTED,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
