name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain,write default
ACTIVITY_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
LEAD_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CONTACT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
TEXT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
STATUS_CHANGE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CREATED_BY_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
UPDATED_BY_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
ATTENDEES,VARIANT,COLUMN,Y,,N,N,,,,,,
CUSTOM_ACTIVITY_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
MEETING_STARTS_AT,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
MEETING_END_AT,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
MEETING_STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
ACTIVITY_AT,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
DATE_CREATED,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
DATE_UPDATED,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
CREATED_BY_USER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
UPDATED_BY_USER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
INSERT_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
UPDATE_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,,
WRAPPED_ACTIVITIES,VARIANT,COLUMN,Y,,N,N,,,,,,
CUSTOM_ACTIVITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CUSTOM_ACTIVITY_OUTCOME_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CUSTOM_ACTIVITY_OUTCOME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
DEA_INTERNAL_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
DEA_INTERNAL_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
SETTER_USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
SETTER_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
SETTER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CLOSER_USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CLOSER_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CLOSER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
OFFER_PRESENTED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
PROGRAM,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CONTRACT_VALUE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
CASH_COLLECTED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
OBJECTIONS_FACED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
DATE_OF_SALE,DATE,COLUMN,Y,,N,N,,,,,,
