OBJECTIONS_FACED,TOTAL_ROWS
"[""No Show""]",1839
"[""Money""]",591
"[""No Objections""]",560
"[""Think About It""]",303
"[""Logistical""]",176
"[""Partner""]",122
"[""Money"",""Think About It""]",100
"[""Time""]",92
"[""Logistical"",""Money""]",90
"[""Money"",""Partner""]",82
"[""Wasn't Looking For What We Offered""]",77
"[""Money"",""Value""]",48
"[""Trust""]",47
"[""Money"",""Time""]",46
"[""Money"",""Trust""]",38
"[""Value""]",33
"[""Fear""]",29
"[""Fear"",""Money""]",26
"[""Money"",""Think About It"",""Time""]",20
"[""No Objections"",""No Show""]",17
"[""Logistical"",""Partner""]",16
"[""Fear"",""Money"",""Think About It""]",15
"[""Fear"",""Think About It""]",15
"[""Money"",""Trust"",""Value""]",13
"[""Logistical"",""Think About It""]",13
"[""Hung Up""]",12
"[""Money"",""Partner"",""Think About It""]",12
"[""Partner"",""Think About It""]",12
"[""Think About It"",""Time""]",12
"[""Logistical"",""Time""]",12
"[""Think About It"",""Value""]",10
"[""Money"",""Think About It"",""Value""]",10
"[""Talking to Other Coaches""]",8
"[""Logistical"",""Money"",""Time""]",8
"[""Think About It"",""Trust""]",8
"[""Money"",""Partner"",""Time""]",8
"[""Money"",""No Show""]",7
"[""Logistical"",""Money"",""Partner""]",7
"[""Fear"",""Money"",""Partner""]",7
"[""Money"",""Partner"",""Trust""]",7
"[""Fear"",""Logistical"",""Money""]",7
"[""Fear"",""Money"",""Trust""]",7
"[""Trust"",""Value""]",6
"[""Money"",""Time"",""Value""]",6
"[""Money"",""Time"",""Trust""]",6
"[""Money"",""Wasn't Looking For What We Offered""]",6
"[""Partner"",""Time""]",5
"[""Talking to Other Coaches"",""Think About It""]",5
"[""Money"",""Think About It"",""Trust""]",5
"[""Money"",""Talking to Other Coaches""]",5
"[""Time"",""Wasn't Looking For What We Offered""]",4
"[""Trust"",""Wasn't Looking For What We Offered""]",4
"[""Money"",""Partner"",""Think About It"",""Time""]",4
"[""Think About It"",""Trust"",""Value""]",4
"[""Logistical"",""Money"",""Think About It""]",4
"[""Fear"",""Trust""]",4
"[""Fear"",""Money"",""Partner"",""Think About It""]",4
"[""Logistical"",""Money"",""Think About It"",""Time""]",3
"[""Money"",""Time"",""Wasn't Looking For What We Offered""]",3
"[""Logistical"",""Money"",""Value""]",3
"[""Fear"",""Money"",""Time""]",3
"[""Money"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",3
"[""Logistical"",""Partner"",""Time""]",3
"[""Money"",""Trust"",""Wasn't Looking For What We Offered""]",3
"[""Fear"",""Logistical"",""Money"",""No Show""]",3
"[""Money"",""No Show"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",2
"[""Hung Up"",""Money""]",2
"[""Logistical"",""Money"",""Wasn't Looking For What We Offered""]",2
"[""Logistical"",""Trust""]",2
"[""Logistical"",""Think About It"",""Time""]",2
"[""Talking to Other Coaches"",""Value""]",2
"[""No Show"",""Wasn't Looking For What We Offered""]",2
"[""Talking to Other Coaches"",""Think About It"",""Value""]",2
"[""Fear"",""Logistical""]",2
"[""Fear"",""Money"",""Value""]",2
"[""Time"",""Trust""]",2
"[""Logistical"",""Money"",""Trust"",""Value""]",2
"[""Logistical"",""Money"",""No Show"",""Trust"",""Value""]",2
"[""Fear"",""Think About It"",""Trust""]",2
"[""Money"",""Think About It"",""Time"",""Value""]",2
"[""Money"",""Value"",""Wasn't Looking For What We Offered""]",2
"[""Value"",""Wasn't Looking For What We Offered""]",2
"[""Partner"",""Value""]",2
"[""Fear"",""Logistical"",""Money"",""Trust""]",2
"[""Logistical"",""Money"",""No Show"",""Trust""]",2
"[""Money"",""No Show"",""Wasn't Looking For What We Offered""]",2
"[""Fear"",""Time""]",2
"[""Fear"",""Logistical"",""Time""]",2
"[""Logistical"",""Money"",""Trust""]",2
"[""Fear"",""Logistical"",""Money"",""Think About It""]",2
"[""Time"",""Value""]",2
"[""Logistical"",""Money"",""No Objections""]",1
"[""Money"",""No Show"",""Time"",""Trust""]",1
"[""Think About It"",""Time"",""Value""]",1
"[""Money"",""No Show"",""Time"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",1
"[""Partner"",""Talking to Other Coaches""]",1
"[""Fear"",""Money"",""Partner"",""Talking to Other Coaches"",""Think About It"",""Wasn't Looking For What We Offered""]",1
"[""Fear"",""Partner""]",1
"[""Partner"",""Time"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",1
"[""Think About It"",""Time"",""Wasn't Looking For What We Offered""]",1
"[""Talking to Other Coaches"",""Time""]",1
"[""Think About It"",""Time"",""Trust""]",1
"[""Fear"",""Partner"",""Time""]",1
"[""Money"",""Partner"",""Trust"",""Wasn't Looking For What We Offered""]",1
"[""Fear"",""Money"",""No Show""]",1
"[""Money"",""Think About It"",""Wasn't Looking For What We Offered""]",1
