name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain,write default
DIAL_DATE,DATE,COLUMN,Y,,N,N,,,,,,
SETTER,VARCHAR(16777216),COLUMN,N,,N,N,,,,,,
TOTAL_OUTBOUND_CALLS,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
TOTAL_LEADS_TOUCHED,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,,
OUTBOUND_SET,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
TOTAL_CLOSER_SHOW,"NUMBER(25,0)",COLUMN,Y,,N,N,,,,,,
TOTAL_OFFER,"NUMBER(25,0)",COLUMN,Y,,N,N,,,,,,
TOTAL_SALE,"NUMBER(30,0)",COLUMN,Y,,N,N,,,,,,
DIAL_TO_SET_RATE,"NUMBER(23,2)",COLUMN,Y,,N,N,,,,,,
SET_TO_SHOW_RATE,"NUMBER(35,2)",COLUMN,Y,,N,N,,,,,,
SHOW_TO_SALE_RATE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
TOTAL_REVENUE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
AVERAGE_ORDER_VALUE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
