name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain,write default
OUTBOUND_DATE,DATE,COLUMN,Y,,N,N,,,,,,
REPORTING_WEEK,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
SETTER,VARCHAR(16777216),COLUMN,N,,N,N,,,,,,
SETTER_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,,
OUTBOUND_DIALS,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
OUTBOUND_TAKEN,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
CONNECT_RATE,"NUMBER(23,2)",COLUMN,Y,,N,N,,,,,,
STRATEGY_CALL_BOOKED,"NUMBER(13,0)",COLUMN,Y,,N,N,,,,,,
SET_RATE,"NUMBER(23,2)",COLUMN,Y,,N,N,,,,,,
STRATEGY_CALL_EVENTS,"NUMBER(30,0)",COLUMN,Y,,N,N,,,,,,
STRATEGY_CALL_TAKEN,"NUMBER(25,0)",COLUMN,Y,,N,N,,,,,,
OFFERS_PRESENTED,"NUMBER(25,0)",COLUMN,Y,,N,N,,,,,,
OFFER_RATE,"NUMBER(35,2)",COLUMN,Y,,N,N,,,,,,
TOTAL_SALES,"NUMBER(30,0)",COLUMN,Y,,N,N,,,,,,
SALE_RATE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
AVERAGE_ORDER_VALUE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
TOTAL_CONTRACT_VALUE,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
TOTAL_CASH_COLLECTED,"NUMBER(38,2)",COLUMN,Y,,N,N,,,,,,
