CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,TOTAL
1) Prospecting Activity,3. Follow Up,4805
1) Prospecting Activity,2. Strategy Call Scheduled,2349
1) Prospecting Activity,6. Not Interested,2179
1) Prospecting Activity,4. Unqualified,1638
1) Prospecting Activity,1. Triage Booked,285
1) Prospecting Activity,5. Inaccurate Contact,180
1) Prospecting Activity,,41
2) Prospecting Follow Up,3. Follow Up,961
2) Prospecting Follow Up,2. Strategy Call Scheduled,276
2) Prospecting Follow Up,6. Not Interested,200
2) Prospecting Follow Up,4. Unqualified,94
2) Prospecting Follow Up,1. Triage Booked,41
2) Prospecting Follow Up,5. Inaccurate Contact,7
2) Prospecting Follow Up,,5
