LEAD_ID,ACTIVITY_ID,ACTIVITY_AT,WRAPPED_ACTIVITIES,INSERT_DATE,UPDATE_DATE,MD5_HASH
lead_jkSiKIAvE5c8I3poxnPAQO6D3PKvXk6wKkHbGhQq83b,acti_ub9P4EzPn4PtZoTSaCH6GETxbtocoDXVr66jf7T7Jua,2026-06-24 19:12:46.612,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_a8a96f94add8fe418f964354350842d5"",
  ""CREATED_BY_USER"": ""user_eB6Y3KqgZ0MR4J6ql9IjqavTM8QDUyFY6zrrH4leArT"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-06-24 19:12:46.612"",
  ""DATE_UPDATED"": ""2026-06-24 19:21:02.600"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_a8a96f94add8fe418f964354350842d5"",
  ""UPDATED_BY_USER"": ""user_eB6Y3KqgZ0MR4J6ql9IjqavTM8QDUyFY6zrrH4leArT""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,30ec661a8e61457f90c9310a557c22db
lead_jkm0bfPGRIs3aAqgqA2HRywjTARboUZbVwp7xiW22MZ,acti_1Q0CsiQrKBon1CTTK2XWq162rysD1FBes7vFC9VL1kQ,2026-05-16 16:45:26.480,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_706491d9fb0211ba6d064d9f84e8dec2"",
  ""CREATED_BY_USER"": ""user_5ZA8iyt50VtoXz67Y4UDiF9JSOtixTroP6FTtW2J8Jr"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-05-16 16:45:26.480"",
  ""DATE_UPDATED"": ""2026-05-16 16:45:33.910"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_706491d9fb0211ba6d064d9f84e8dec2"",
  ""UPDATED_BY_USER"": ""user_5ZA8iyt50VtoXz67Y4UDiF9JSOtixTroP6FTtW2J8Jr""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,906ddfbf32d86cd1d01deb694531e4b2
lead_jkm0bfPGRIs3aAqgqA2HRywjTARboUZbVwp7xiW22MZ,acti_5JHLnw3NFSwR73kFJk3xBuVaWZ9ECfWMUQP1o7IBizb,2026-05-21 13:10:14.948,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_b18ad51ebc13520a620f3ccdaba48c2c"",
  ""CREATED_BY_USER"": ""user_lTv72kshXP7JpPMAMfUAAmv64JLLZxFJg08rtcYiOXJ"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-21 13:10:14.948"",
  ""DATE_UPDATED"": ""2026-05-21 13:10:22.461"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_b18ad51ebc13520a620f3ccdaba48c2c"",
  ""UPDATED_BY_USER"": ""user_lTv72kshXP7JpPMAMfUAAmv64JLLZxFJg08rtcYiOXJ""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,da245f4086d82e3fa0255e5ad4ca4187
lead_jkxJRlmOoAtAGGgZNr0C36dSaXjnakP6hvghnADwxLJ,acti_4ufySMK4Hp95Hz7h6PXSTxmcTlgC0DhtEu3CcXkqhxi,2026-05-18 20:07:57.817,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_d7ca571dbdd69a3ced28d1f219d1c85f"",
  ""CREATED_BY_USER"": ""user_redpHmpEbLaWxnpI2YSbzWOuEcZ36WljUcUBh8pmSTA"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-18 20:07:57.817"",
  ""DATE_UPDATED"": ""2026-05-18 20:08:40.413"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_d7ca571dbdd69a3ced28d1f219d1c85f"",
  ""UPDATED_BY_USER"": ""user_redpHmpEbLaWxnpI2YSbzWOuEcZ36WljUcUBh8pmSTA""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,ea5523e9f3cda0f3b3da304b40b0839a
lead_jlFhcQ5Ivqr08GeMPmaHIjWRugAavKN0MozIKqk56xg,acti_GGwlezzYclKB9o6dEM7ONqa946MpTaxTwZGCsatK4s2,2026-05-10 12:13:52.039,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_75613a3d80a70bc160355cc67df557d0"",
  ""CREATED_BY_USER"": ""user_1x5aaG5n9Tk5VE42qtmbInArqpssoifWhf6MQz8MLYM"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_6ga7msjJ7kZcH2rGtYETwe"",
  ""DATE_CREATED"": ""2026-05-10 12:13:52.039"",
  ""DATE_UPDATED"": ""2026-05-10 12:13:58.369"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_75613a3d80a70bc160355cc67df557d0"",
  ""UPDATED_BY_USER"": ""user_1x5aaG5n9Tk5VE42qtmbInArqpssoifWhf6MQz8MLYM""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,afbde0c0a8c88c1c944f14dd47bc9b56
lead_jlOzi8gITRV4ib412wwDGMXyjnKtnfoFghi4P2Rdfn2,acti_sOA0xwYyN4PyDuxRGratnoOSva08ilUKQiu7RQtwXYG,2026-05-08 16:30:08.435,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""CREATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_6ga7msjJ7kZcH2rGtYETwe"",
  ""DATE_CREATED"": ""2026-05-08 16:30:08.435"",
  ""DATE_UPDATED"": ""2026-05-08 16:30:29.770"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""UPDATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,a4a7795cbd41d978ffe10a7230c7e415
lead_jlg8GorYVoSRSyPSa0x07dskubIa2H9mEwAVQBzrmYC,acti_fVazCm34NxDva5v01Mmb45QfbZWG6XRfkK6C4oPV32j,2026-06-17 19:16:22.712,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_ac56fe8a078a7e65ae584b5b838beb31"",
  ""CREATED_BY_USER"": ""user_vjLf4dWq7WflulgOLEjwROWnGkx7djZiT9lgpEAcTyg"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-17 19:16:22.712"",
  ""DATE_UPDATED"": ""2026-06-29 23:41:29.972"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_ac56fe8a078a7e65ae584b5b838beb31"",
  ""UPDATED_BY_USER"": ""user_vjLf4dWq7WflulgOLEjwROWnGkx7djZiT9lgpEAcTyg""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,781692ff69a4afd05ebe24b16afa87c4
lead_jlpxKi0baNxIEjwkSxuxZrZxkCT7Dia9PViO6FYO37Z,acti_CjKTB8x5AdG2aikE9f5KctQzAmuJt2J1VwLrDzjCh8j,2026-06-29 16:44:08.292,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_eb1efaee45a59705808492017b599a88"",
  ""CREATED_BY_USER"": ""user_RoWq89U2oZOlTTfJScR9pTREnX3AAeNdKnw4YOOcYwG"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-06-29 16:44:08.292"",
  ""DATE_UPDATED"": ""2026-06-29 16:44:08.292"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_eb1efaee45a59705808492017b599a88"",
  ""UPDATED_BY_USER"": ""user_RoWq89U2oZOlTTfJScR9pTREnX3AAeNdKnw4YOOcYwG""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,23f143e4a0534981e8cbcd7137b1ebe9
lead_jltkOdkB9YZkUku50zYlBd4r590MupNv30OnRbOcqfI,acti_INhWYoJUfjPE81FXQHLgaFMefFz6MwoeQNlhtO1QURI,2026-04-04 16:11:15.580,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""CREATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_6ga7msjJ7kZcH2rGtYETwe"",
  ""DATE_CREATED"": ""2026-04-04 16:11:15.580"",
  ""DATE_UPDATED"": ""2026-04-04 16:11:59.972"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""UPDATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,5f4e9efd9e17e5b9e5e1e2c70a39581c
lead_jltkOdkB9YZkUku50zYlBd4r590MupNv30OnRbOcqfI,acti_QRYhcq8Ncv3QHgFuVaBeOAISJEZUCUpF8rr0iUWgDSg,2026-04-07 23:53:04.876,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_02b1d95a7bee3863a76dbcdb7c23be5d"",
  ""CREATED_BY_USER"": ""user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-04-07 23:53:04.876"",
  ""DATE_UPDATED"": ""2026-04-08 00:00:49.722"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_02b1d95a7bee3863a76dbcdb7c23be5d"",
  ""UPDATED_BY_USER"": ""user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,f0d2a647b4672fce5aa8e1bde0401f67
