ACTIVITY_ID,LEAD_ID,CONTACT_ID,USER_ID,TYPE,TEXT,STATUS_CHANGE,CREATED_BY_NAME,UPDATED_BY_NAME,ATTENDEES,CUSTOM_ACTIVITY_ID,MEETING_STARTS_AT,MEETING_END_AT,MEETING_STATUS,ACTIVITY_AT,DATE_CREATED,DATE_UPDATED,CREATED_BY_USER,UPDATED_BY_USER,INSERT_DATE,UPDATE_DATE,MD5_HASH
acti_VRnidUomcqlRxgpFXZSTT0x37p15ilJSVOmwDyHI2Sm,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,Call,,no-answer,user_94f8b2f27b8730c4b1185064bdfb5733,user_94f8b2f27b8730c4b1185064bdfb5733,,,,,,2026-04-24 01:12:53.147,2026-04-24 01:12:53.147,2026-04-24 01:13:08.894,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,c723954b345c5ef2715a930721ebbe15
acti_Vuw9OksIzcE01Ir9kli1ZVB6fihYnbHDJV5BhbmxYxj,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_9dlTLS8pMYOePFZ0cU22V0WWI3QL4LMZVjQHTolrvIS,Call,,no-answer,user_ff3722657d1610e173197c1425edd5ab,user_ff3722657d1610e173197c1425edd5ab,,,,,,2026-05-22 01:16:08.886,2026-05-22 01:16:08.886,2026-05-22 01:16:40.666,user_9dlTLS8pMYOePFZ0cU22V0WWI3QL4LMZVjQHTolrvIS,user_9dlTLS8pMYOePFZ0cU22V0WWI3QL4LMZVjQHTolrvIS,2026-07-07 11:01:22.225,2026-07-28 10:20:40.303,da302fdc7d60621a2fa5f70b28383b19
acti_WQzXAC3buRHXbhNmnlhbVQtZr4RhN15ja113BqTCLgl,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,Email,,sent,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-04-26 01:56:15.378,2026-04-26 01:55:24.548,2026-04-26 01:56:16.447,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,5aeaecbf52a71af5238516cd89032558
acti_Ye939npiV5Y7z5Rd6RgcDlqDTgIoAEW4XjIlmFm9sfs,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_6e09395378422f44cd3f53a703db6b40,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-07 01:42:42.633,2026-05-07 01:42:41.798,2026-05-07 01:42:45.952,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,5a7800305a798dd5caee3b6b51e02ba9
acti_f6NFhXQ43q7iqz6ZgypLlmfFeXrWaU6pYHVeX7Oj5YU,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_f5c28316e83b40c8f79f0fc2a0e7567d,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-18 23:12:44.028,2026-05-18 23:12:43.317,2026-05-18 23:12:47.261,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-07-07 11:01:22.225,2026-07-28 10:20:40.303,deaf3aff6570ee0c74299444cd6ce438
acti_g4zcHu0v5lPYmZ3lziPMd7Rin1RaeWO90jvDES9or81,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_5c0c49676db71b3583ea0bf018f99b0a,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-04-21 21:21:37.582,2026-04-21 21:21:37.035,2026-04-21 21:21:38.310,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,0c3ae0f976f5829753f7d3120b524252
acti_jhFJeKpMpfHApgolrKfw0srJxRfe7GgxNKD8WqrEs0s,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,Email,,sent,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-11 17:48:47.712,2026-05-11 17:48:40.077,2026-05-11 19:13:14.582,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-07-07 11:01:22.225,2026-07-28 10:20:40.303,b132d04bf8bb8881d6f80f093fd5ec10
acti_kKCLjbSWz4dCdYiktiSvMU1NBtZ5iTDrwKFLUbP4b79,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,Call,,no-answer,user_94f8b2f27b8730c4b1185064bdfb5733,user_94f8b2f27b8730c4b1185064bdfb5733,,,,,,2026-04-17 17:22:55.127,2026-04-17 17:22:55.127,2026-04-17 17:23:11.034,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,3868363ebf41b07080bf2fb4d547df20
acti_kx3ApyUPw8Vh88ZQKYEJnEVX8aCOWG0CBwuNHhEyFRG,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_bbd9b1f109f10fd2807c819cc0a9398e,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-04-28 01:56:29.604,2026-04-28 01:56:28.804,2026-04-28 01:56:33.015,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,e48ccb07f624000d57adb347432a8e1d
acti_m9Kp4A2H5JW9fJEGjwlRjsBU5Hq3K2oRgbtXHTLaRWG,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_85e0a0731ef7ee078b24b090939092d8,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-10 01:55:36.047,2026-05-10 01:55:35.370,2026-05-10 01:55:39.176,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-07-07 11:01:22.225,2026-07-28 10:20:40.303,255e62719a81ea93479f06a57c9331ca
acti_nJS1Rj0QiDRnM5BGZXxxZNSojfZpvKLROfx7o49dMuT,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_f200a128a7f1531b21cb258c7b416a00,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-04-30 01:58:36.256,2026-04-30 01:58:35.518,2026-04-30 01:58:39.633,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-05-22 11:01:33.759,2026-07-28 10:20:40.303,e22a770f2ebd8710c8f97e6c55e9b380
acti_qMrLMQZn90kb3RMCyj0IbgtpBZWZei0uSbu0YiL8llg,lead_AZ7S37Ip571HSFo8vwTlOFjdv7djoHZTNIKhHPvsTVg,cont_ApKtWnnxNHV8Lqkd9N7vbHu0dmfpjrH0VAzXGJ3cXL1,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,SMS,user_50ef3aec0eeeea4da7f86afc67f442a3,error,,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-16 19:57:52.871,2026-05-16 19:57:52.075,2026-05-16 19:57:55.763,,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-07-07 11:01:22.225,2026-07-28 10:20:40.303,1ff29d9f32a1d2374e61e3ec5dd2ddb2
