ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,PROSPECTING_CALL_OUTCOME,ACTIVITY_AT,DATE_UPDATED
acti_NBgvoSktcMZvUawnl1WAJMh2BXM5FQOCXTufHB1qSKx,lead_7elXHhaLS3vXcMUDLcbGroQBKSHtP1mxjdrGcBDhtfz,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-01 17:37:32.458,2026-04-01 18:00:59.416
acti_SH9Ztz5p8yec3t2DzyTLB07e0lcYs1q1XHZBY1RZkC9,lead_7elXHhaLS3vXcMUDLcbGroQBKSHtP1mxjdrGcBDhtfz,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-04-01 19:41:00.113,2026-04-01 19:42:01.296
acti_xgRPiKYzQW7z6D64chPBW6xhqkNqqdeYMFWydfrpxRO,lead_7eqTqN09KkIJB0tfUJka0Bk36rdzqxr6eFM3NI1SgBu,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-15 19:02:52.968,2026-05-15 19:04:00.371
acti_wKMiIOLDxiZKEZLIea5kFXBH6jxcAbIYmYt38LlFww7,lead_7fH3gRbD2VjfvQBrLN8evvHMdv8roAVuAze5Yljqs3F,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-06-17 03:33:32.842,2026-06-17 03:34:09.136
acti_n8dCqausdKhysYYsA5uafmCGdhRrMeSaKobvV31jY7C,lead_7fd2xDN1IyG2WJNSEaqOliwamAdWwuF3iqc0cokZwmb,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-08 03:30:05.525,2026-06-08 03:30:23.432
acti_WkEBtyKLvZTgkkTwLhnkH22mIJZm6aI1NQv1UN9gsPY,lead_7gmlg35pvyDr4crbbJSVqzAF3JVCXCviGxuOJ7N6njA,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-04-19 23:48:11.487,2026-04-19 23:48:15.768
acti_XT6z2kQV7tss2OYys92b6zpkJy59bhYxxNjHQ4L0iEg,lead_7gmlg35pvyDr4crbbJSVqzAF3JVCXCviGxuOJ7N6njA,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-05-12 17:49:31.416,2026-05-12 17:51:26.921
acti_viDYdcgIR3vVu1XwIEgtzfPVoHyowTKFKJ7o1VX6lCV,lead_7gmlg35pvyDr4crbbJSVqzAF3JVCXCviGxuOJ7N6njA,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-05 14:04:58.959,2026-05-05 14:05:26.483
acti_9KLY5DC4ZfTVHq810w2x9xh2urSgYYCehQNAMbqtgAO,lead_7golnaq1W1E5jbBzBzlvrITgqTRcjq9KCHLqOvrvWo3,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-03-30 23:07:55.273,2026-03-30 23:08:10.827
acti_6cVR2UaQO1yTNFpCPnnI0d9JJBSJ5IlrEhYijgQnVFu,lead_7gzO2dtHBlVGlvTw9pv34Cl2YRAElr0Gd0sa4OQUWjd,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-02 14:26:44.517,2026-06-02 14:27:33.437
acti_pxsoUuXumRrD5VdPIDq6fTL7jdtxOoOFXr6wJTR97xa,lead_7hA2Ft9aLldBnMp3gEXJo8UJ0Zo7zgKiwP8m8L3hWTv,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-07-01 19:05:48.274,2026-07-01 19:05:53.255
acti_0bvQSaExoFstA4upLdvQcWWvTSKFg4bSfRxl0WCl12m,lead_7hJMlszqeRne62VNvlxpTiSl3TXX8Jpollvy4IGIEMW,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-06-15 18:59:42.207,2026-06-15 18:59:48.773
acti_JFBUdcBM7h2qtN2lhBYpLXZ2X9UcuM0hVmMZwaCcxkw,lead_7hTujfNVfKzZMDZtH4tuSFN8twjeBXS5Mc3SFSdsPcO,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-06-07 19:11:13.343,2026-06-07 19:12:31.629
acti_5WluBxHjgy5A6GdgfX3ZF5q47y6ukqGqnGRPdmLiDHC,lead_7htFwYwBiYFb3CLE4MEu8v455SpsIH962aDZ9uVY8IW,actitype_6ga7msjJ7kZcH2rGtYETwe,6. Not Interested,2026-04-16 21:14:50.959,2026-04-16 21:14:57.368
acti_AElhbtDw9jY9AX4eRlvZBMkJdv0fkOJ4sdLFw3v4USx,lead_7ipAZ7iJnOj8O7rielTGKqvgLtywAgoX2bZ4KlwXBpv,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-01 13:49:07.796,2026-06-01 13:49:25.314
acti_KwqMUetRhwpX2ZGsLRCtViTsGKV7y50YIoUJ4fRP4Zz,lead_7ipAZ7iJnOj8O7rielTGKqvgLtywAgoX2bZ4KlwXBpv,actitype_6ga7msjJ7kZcH2rGtYETwe,1. Triage Booked,2026-04-28 00:40:44.884,2026-04-28 00:40:55.859
acti_MNrAGNCRgT9QJ3CUwZeX7RDdEcrnZj8iwqod343rkKF,lead_7j3HDZFbUP5shvLRUBEuiopvy8Q3PSyNefupFq5zvjQ,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-03-26 12:47:16.057,2026-03-26 12:47:58.410
acti_nl2CCG8NOwicXD4vdyLUs3V6RCCVQO3AMKNe1Vmtkfz,lead_7jAm26g9VTswY1mpOnvlCvGGsEIFojOv8Oka2vYeA3v,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-07-04 15:31:13.083,2026-07-04 15:31:20.078
acti_IJJJpDMtBZq4pfDrrW2i4EXT6GdqHCY6R9BpBln6UYv,lead_7k50uKWhRFVzuRtF43DbWvPZ2CwmyIBS7hl3EafCbbO,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-04-15 20:00:27.093,2026-04-15 20:02:47.573
acti_QrYND54cWXpwuIF4DCciiEf9RrjEOQEyuCugK0oRpte,lead_7k7nVtre5QqTziCBbjpQR1R1DVEGGOfivOixwdi8Px0,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-06-02 15:27:25.613,2026-06-02 15:27:35.916
acti_uK8Dumy4GYfAlP9s4P2W8mvfbaoUHnp9N83D0MdQjrz,lead_7k7nVtre5QqTziCBbjpQR1R1DVEGGOfivOixwdi8Px0,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-09 16:19:42.319,2026-05-09 16:20:05.030
acti_gWX2dM8CYnbOQvPaSI1FM7nEYb9Ill5x19B3nIA3LsC,lead_7kX4mMC1IltY0JS8ip5Ol7tfxP8q1yOqEV1H0AH0vdI,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-05-13 17:36:28.467,2026-05-13 17:36:41.732
acti_YePcCsa4bw6dEkjhiXTGI4FRchoBRu4i756Qm5irzIf,lead_7kYH4RwlxjLihHN9uFXHbux9u7APD4KOV8u4BM5J6EG,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-20 18:31:18.729,2026-04-20 18:54:14.006
acti_0p9CRENhY0o6FZ7KG1MDMQ2PY6YIBn5pq6hzTjaUevs,lead_7lWxsWM4psr3b80qxRhkoY56uG7EpdeN5D7VceQYMv4,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-19 23:22:35.804,2026-05-19 23:22:47.336
acti_3ZwEcWKFurZE09GXlt5uWF2IfsQuiOrx6FPcFv0VV9i,lead_7lWxsWM4psr3b80qxRhkoY56uG7EpdeN5D7VceQYMv4,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-25 23:43:39.723,2026-06-25 23:43:44.795
acti_yKFfXk6NenSL2gHBcQZQcLAHteymwbexQJtaKrI8rnO,lead_7m1DzBuUjtKwm9AjrRFLsKUBnRUXrz4jq5Z3cQx4bLf,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-29 16:30:44.505,2026-05-29 16:37:14.678
acti_bfMop3MNrJcWGJc37XSACVCqdWtbEzGsEkJCorAgirk,lead_7mFgXNwcnI62qLRVdUTOrDfWYbBRyucDIWoJrlvzcWX,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-05-08 20:51:08.210,2026-05-08 20:51:46.629
acti_cnez4AmpECLQ5P7WpkQ44153pXkzyq4nylXwC47Dn0C,lead_7mGazsEaVt2hnpl3OJM1O38PO40sdemPTaqMUHg2xvg,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-14 01:40:06.724,2026-04-14 01:40:17.347
acti_LwwHhHKY6vJNaTmUHgkM2uNlHLsnmc6tPZKXZnqTnJf,lead_7mXefqI5RIiSkbTmvx2XgjORrYEbWY9BNIl7zOAIpqg,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-29 17:17:17.621,2026-04-29 17:18:42.966
acti_m0xV7CkYl6z9EP0U1yOFQPdd83ZAKT4BQDdsN1XkiVk,lead_7mXefqI5RIiSkbTmvx2XgjORrYEbWY9BNIl7zOAIpqg,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-03 14:35:30.608,2026-05-03 14:36:38.432
acti_TjOpasmU8eWSOH2XiOOBeuK3n7EuwLrQV8IcLmDz6LT,lead_7n1oBV43sgxRKkjJIEOXH8IkF63Zdl51pWZwSLSGUv6,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-03-31 16:07:58.497,2026-03-31 16:13:19.088
acti_e83XfaRR4QOd7wzf7ykwnH7NOY19Lwr6MXgtjgPCfTK,lead_7n1oBV43sgxRKkjJIEOXH8IkF63Zdl51pWZwSLSGUv6,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-06-18 19:12:43.485,2026-06-18 19:13:28.197
acti_YnFnPryBMqcj09WWQpTsMsIjybU6dWhSwXtIwjWvwb8,lead_7nDGfdqoIhnETG8XIWmCoOP98fkVnPHMqeHzMoSGalq,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-09 14:49:10.310,2026-06-09 14:49:29.551
acti_EaO95JPx7JD0tJsRMYdE5pZQNZLNTydydt5WLm9yz1Q,lead_7nVOd4w0OFG5i4NBcdHIWoK8jboCqk7ceXrmeAJIDU7,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-05 20:00:15.575,2026-05-05 20:01:05.337
