CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,TOTAL_ROWS
1) Prospecting Activity,Prospecting Call Outcome,3. Follow Up,4805
1) Prospecting Activity,Prospecting Call Outcome,2. Strategy Call Scheduled,2349
1) Prospecting Activity,Prospecting Call Outcome,6. Not Interested,2179
1) Prospecting Activity,Prospecting Call Outcome,4. Unqualified,1638
1) Prospecting Activity,Prospecting Call Outcome,1. Triage Booked,285
1) Prospecting Activity,Prospecting Call Outcome,5. Inaccurate Contact,180
1) Prospecting Activity,,,41
2) Prospecting Follow Up,Prospecting Call Outcome,3. Follow Up,961
2) Prospecting Follow Up,Prospecting Call Outcome,2. Strategy Call Scheduled,276
2) Prospecting Follow Up,Prospecting Call Outcome,6. Not Interested,200
2) Prospecting Follow Up,Prospecting Call Outcome,4. Unqualified,94
2) Prospecting Follow Up,Prospecting Call Outcome,1. Triage Booked,41
2) Prospecting Follow Up,Prospecting Call Outcome,5. Inaccurate Contact,7
2) Prospecting Follow Up,,,5
