CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,TOTAL
3) Triage Call,Triage Call Outcome,6. No Show,1871
3) Triage Call,Triage Call Outcome,1. Strategy Call Scheduled,1293
3) Triage Call,Triage Call Outcome,2. Unqualified,474
3) Triage Call,Triage Call Outcome,3. Follow Up < 10 Days,222
3) Triage Call,Triage Call Outcome,7. Reschedule,123
3) Triage Call,Triage Call Outcome,10. Not Interested,120
3) Triage Call,Triage Call Outcome,8. Cancel,106
3) Triage Call,Triage Call Outcome,5. Long Term Follow Up,48
3) Triage Call,Triage Call Outcome,4. Follow Up < 1 Month,46
3) Triage Call,Triage Call Outcome,9. Inaccurate Prospect,31
3) Triage Call,Triage Call Outcome,,6
5) Strategy Call,Strategy Call Outcome,1. Follow Up,2339
5) Strategy Call,Strategy Call Outcome,4. No Show,1314
5) Strategy Call,Strategy Call Outcome,5. Reschedule,372
5) Strategy Call,Strategy Call Outcome,3. Cancel- Not Interested,264
5) Strategy Call,Strategy Call Outcome,8. Cancel- Nurture,246
5) Strategy Call,Strategy Call Outcome,2. Admin Cancel,187
5) Strategy Call,Strategy Call Outcome,6. Sale,175
5) Strategy Call,Strategy Call Outcome,7. Lost,140
5) Strategy Call,Strategy Call Outcome,,7
