LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,DEA_INTERNAL_EMAIL,DEA_INTERNAL_NAME,ACTIVITY_AT,STATUS_CHANGE
lead_U9NIsAf9GRaB0unYF9EjSU2GeHYzDhxO333fjzxoKtO,acti_u2fRy3k89MOUab58fhjLtiLnBZsffAbLii562IV8dlf,5) Strategy Call,6. Sale,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-05-16 16:34:38.333,published
lead_U9xDKWku0heFCqGl94zwKJGA8JYBhgI0y8twwk32MPa,acti_xi5yEwPtZbxnEknkiSXOhrGCysqr7OfbcEbLK0h6zvm,5) Strategy Call,1. Follow Up,,,2026-05-26 22:57:15.386,published
lead_UA7Au5cIJp4ijcnIOTslHzRsAO4keeycGVp9sr85YU4,acti_sjaHy4p9soQBzrYhFFKishehZwVvid2mAFUsHWMplDP,5) Strategy Call,1. Follow Up,olivier@dataengineeracademy.com,Olivier Auguste,2026-04-29 22:32:25.587,published
lead_UAfNxMLqCJBqHsjjnftSPD6ERhE6lmkJnzQ45R74wkz,acti_1K4VFfrm8QslpkXQkQZhkgqzoOHeTSEQgT1RmdhTLsG,5) Strategy Call,4. No Show,,,2026-06-15 22:17:50.863,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_1e6jEiCSgPJLWjmxJEmk1byOH3yKWaQ1bxqC4WI4N2s,6) Strategy Call Follow Up,,,,2026-04-16 23:21:30.432,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_40rrmMLd3dd5ksTQdLFxjVZIrgOS2ofjNd1cZlHMB9a,5) Strategy Call,1. Follow Up,,,2026-04-05 22:54:56.875,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_9KphNRCD8zIZKuesrqNhz2pKIRn7L29GVv8QyFMTx5f,6) Strategy Call Follow Up,,,,2026-05-29 22:51:19.427,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_FHPUIInnGfrbMbzeooNSQRaxW1q1cLyUgrdWiF1hEEB,6) Strategy Call Follow Up,,,,2026-04-19 01:37:10.800,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_MdwTyAkJLzHFxR2ql48OgpFvcjAtE3AnxvcmUwNqEWe,6) Strategy Call Follow Up,,,,2026-05-27 20:46:23.049,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_UTpgCLm9olot5gOqW3BSRQD9APJhNixwPVWkeWDecf1,6) Strategy Call Follow Up,,,,2026-05-30 22:52:27.694,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_e4cHGbwdq44EandLWk5mwioSR2bbTJFcTLIr9Sxqyfw,5) Strategy Call,5. Reschedule,,,2026-04-03 23:39:30.538,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_loFLAPm5Fx1N66yddeYYp2h8Y8N4pS83Ck698KKQT8H,5) Strategy Call,5. Reschedule,,,2026-05-15 22:05:19.212,published
lead_UDeoS7oY1IwHSNLq7HsFjhGH5OAP47XXVFmWiHnK7Du,acti_molLwJX1aDfZf3BhAP3WIIAOghbWRwLqxOdRMNQLz0h,6) Strategy Call Follow Up,,,,2026-04-09 23:22:36.195,published
lead_UEq4dma6Sa04w6zqKtKY1EohZ2DAKa0e56BuaFaU6o2,acti_qM2XkrM5GWXOLO8P3EmlUEzR7IZcYrg6lHVBld0y3mT,5) Strategy Call,2. Admin Cancel,,,2026-04-30 21:56:27.752,published
lead_UIbPaO5K4ynaAhADjjGP6cy6MV4GH9tm1fF1aV1wkN3,acti_PFl8zCsHdeYEXZodgy5LB553rUUDwjqdYyQQb6ttrAW,5) Strategy Call,1. Follow Up,jordon@dataengineeracademy.com,Jordon Eggleston,2026-04-14 18:00:09.653,published
