CUSTOM_ACTIVITY_NAME,OUTCOME_COUNT
1) Prospecting Activity,18
15) Refund Request Initiated,18
8) New Sale [Custom Payment Plan],18
10) Call Confirmation Activity,18
9) Additional Cash Collected,18
Referral Ask,18
13) New Deposit,18
3) Triage Call,18
12) Onboarding Complete,18
7) New Sale,18
Lead Fi,18
Refund Decision,18
11) Post-Sale Activity,18
4) Triage Call Follow Up,18
Payment Transaction,18
Slack User Removal,18
5) Strategy Call,18
6) Strategy Call Follow Up,18
Backend Sale Pitch,18
2) Prospecting Follow Up,18
0) Pipeline Update,18
Fathom Call,18
New Referral Generated,18
Setter Hand Off Notes,18
14) Backend Sale,18
