LEAD_ID,ACTIVITY_ID,ACTIVITY_AT,WRAPPED_ACTIVITIES,INSERT_DATE,UPDATE_DATE,MD5_HASH
lead_TDn5HrbgT3bxHv1P67uravoMyy1h3A41zB9YslepFWp,acti_Sd2oXG1kMyHPc5iwKDSdf41jaOlOBxXdMvyNen518TS,2026-05-06 18:57:18.806,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""CREATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-06 18:57:18.806"",
  ""DATE_UPDATED"": ""2026-05-06 18:57:29.759"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""UPDATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,818467fa2943a745fcf0d28de1bd20e2
lead_TDofgTMLfYQ42nthBpOQ3XfU04tB6pvwmExx3B6gmNl,acti_H4tqMQwXByOfqXVPPkHwZQTVX5n97qUib3NpPqNVdgY,2026-06-22 15:14:35.941,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""CREATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-22 15:14:35.941"",
  ""DATE_UPDATED"": ""2026-06-22 15:15:26.939"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""UPDATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,a82baf89e4386409436f24849206841b
lead_TDtOSeNAeQYVicHFTH3TtiCozcvfQEmIdYzsJFDtiEU,acti_8ULREEwvTk7SO0Q0f6W48GoDmCP4hFxGpW4IENx9ojn,2026-05-19 14:35:20.393,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_bce599c0f86706cbd10e3bb8c9893f6e"",
  ""CREATED_BY_USER"": ""user_BYSyqZrkp8BMPd0DgrdsmxovDmPdsC4xcgORgy1nu5n"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-05-19 14:35:20.393"",
  ""DATE_UPDATED"": ""2026-05-19 14:43:06.850"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_bce599c0f86706cbd10e3bb8c9893f6e"",
  ""UPDATED_BY_USER"": ""user_BYSyqZrkp8BMPd0DgrdsmxovDmPdsC4xcgORgy1nu5n""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,ee2dd0b7c0e71c0c622e2a8f93490a7c
lead_TDtOSeNAeQYVicHFTH3TtiCozcvfQEmIdYzsJFDtiEU,acti_ycxAips8QOijLNjqo14LKsPZmxxelsufog2aAxoqy6x,2026-03-27 20:41:21.086,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_ae53136f3ffb31f06fadbc0d6266efd6"",
  ""CREATED_BY_USER"": ""user_VWi45CiqUTsouPM5xuCMbvKVjj8iksnKSPAuvIuskLN"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-03-27 20:41:21.086"",
  ""DATE_UPDATED"": ""2026-03-27 21:22:41.399"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_ae53136f3ffb31f06fadbc0d6266efd6"",
  ""UPDATED_BY_USER"": ""user_VWi45CiqUTsouPM5xuCMbvKVjj8iksnKSPAuvIuskLN""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,2e6dc44c45466b8835bae21b1912e274
lead_TDv78de2gjPTOAASd4x6PgSvmhEBDPmK8slq6fMDUG7,acti_815OWS5gdxoRd42XQfzibuEAeif0AZRBN57AbDVqNjR,2026-03-29 14:04:13.451,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_0c3d01cc5b20f94522515f0443750b1a"",
  ""CREATED_BY_USER"": ""user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-03-29 14:04:13.451"",
  ""DATE_UPDATED"": ""2026-03-29 14:04:20.960"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_0c3d01cc5b20f94522515f0443750b1a"",
  ""UPDATED_BY_USER"": ""user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,6c0003ce909ef52716c43b8f4b6b32d3
lead_TEePz7fa90IfineYYa0XAc9hAXNp8ORmzljkVVtUS31,acti_0LGaE4bf4YYYIhLilKLSFql9GW95ukribfd4GOuTezi,2026-04-15 19:17:32.586,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_fa784ad1b32e520128e598d0feebc85e"",
  ""CREATED_BY_USER"": ""user_C0hbDLzqDr4F75TN87RLJ4Ow0HpiJT7NQyR8xsUI4ZY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-04-15 19:17:32.586"",
  ""DATE_UPDATED"": ""2026-04-15 19:18:18.289"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_fa784ad1b32e520128e598d0feebc85e"",
  ""UPDATED_BY_USER"": ""user_C0hbDLzqDr4F75TN87RLJ4Ow0HpiJT7NQyR8xsUI4ZY""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,23be1b19291d9b0fcc37e329f5b4a31f
lead_TEePz7fa90IfineYYa0XAc9hAXNp8ORmzljkVVtUS31,acti_cRTMA5fkFci1H7ddbABMaCmZNnVsqHICIz7Lbmhemo5,2026-04-13 13:57:56.603,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""CREATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-04-13 13:57:56.603"",
  ""DATE_UPDATED"": ""2026-04-13 13:58:10.392"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""UPDATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,075b272ec0ee8d941fbd5015d1546812
lead_TEhkTXjDXwNjOI0TERXa8WCoxenpOboNoc2cFnQG3LK,acti_GEZDWBprSgWj5Ggz2IceZAd9Wd4JzJEgAOXZTmvDbGP,2026-04-20 02:09:32.526,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""CREATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-04-20 02:09:32.526"",
  ""DATE_UPDATED"": ""2026-04-20 02:09:32.526"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""UPDATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,d5451e29169e2c28efdcd4f73b1153ee
lead_TEhkTXjDXwNjOI0TERXa8WCoxenpOboNoc2cFnQG3LK,acti_UOkvtmgZN8gYl5PDQUCpqCCqRR5IYuIdEbVfEUUSuhz,2026-05-04 15:45:50.569,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""CREATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-04 15:45:50.569"",
  ""DATE_UPDATED"": ""2026-05-04 15:46:01.618"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_7b795edac4a3e3b90eaf1ab487d3b227"",
  ""UPDATED_BY_USER"": ""user_05RNTE4zZzNSxJc0cdsRYRETJojGw9HVQQqEN5CcPLL""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,d3ac798742da0b36a4b71c897d275f08
lead_TEhkTXjDXwNjOI0TERXa8WCoxenpOboNoc2cFnQG3LK,acti_gTQuF6RPM5LDUNqrHnNZlbTf3ziAW3MQv83FormBi2m,2026-04-20 01:54:49.692,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""CREATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-04-20 01:54:49.692"",
  ""DATE_UPDATED"": ""2026-04-20 01:54:49.692"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""UPDATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY""
}",2026-07-09 07:09:28.958,2026-07-09 07:09:28.958,543a4725111c088431bed4366c9bcbfe
