CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,TOTAL
3) Triage Call,Triage Call Outcome,6. No Show,1391
3) Triage Call,Triage Call Outcome,1. Strategy Call Scheduled,1125
3) Triage Call,Triage Call Outcome,2. Unqualified,387
3) Triage Call,Triage Call Outcome,3. Follow Up < 10 Days,180
3) Triage Call,Triage Call Outcome,7. Reschedule,96
3) Triage Call,Triage Call Outcome,10. Not Interested,94
3) Triage Call,Triage Call Outcome,8. Cancel,93
3) Triage Call,Triage Call Outcome,5. Long Term Follow Up,37
3) Triage Call,Triage Call Outcome,4. Follow Up < 1 Month,34
3) Triage Call,Triage Call Outcome,9. Inaccurate Prospect,21
3) Triage Call,Triage Call Outcome,,5
5) Strategy Call,Strategy Call Outcome,1. Follow Up,1843
5) Strategy Call,Strategy Call Outcome,4. No Show,1143
5) Strategy Call,Strategy Call Outcome,5. Reschedule,342
5) Strategy Call,Strategy Call Outcome,3. Cancel- Not Interested,225
5) Strategy Call,Strategy Call Outcome,8. Cancel- Nurture,222
5) Strategy Call,Strategy Call Outcome,2. Admin Cancel,144
5) Strategy Call,Strategy Call Outcome,6. Sale,106
5) Strategy Call,Strategy Call Outcome,7. Lost,96
5) Strategy Call,Strategy Call Outcome,,7
