LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,STATUS_CHANGE,TEXT,MEETING_STATUS,MEETING_STARTS_AT,MEETING_END_AT,CREATED_BY_NAME,ACTIVITY_AT
lead_uYLmVFI6LWTQ0oe5fTEFI3xxdyoxUamCYCHRkXdHggP,acti_vpDkeQKO2LLdTELl4LkntojTB3V3xZKvGg5cKk211p6,3) Triage Call,published,,,,,user_e3c43c22e7f8f1802c89cf46498f92d0,2026-05-13 15:01:02.809
lead_uYonR5CpjoOElU5ZZrsVGaarMQmC2hJTS9bwl5yRi0G,acti_61kpvA9yqo1QKbq9b6e8JTD1QAUk7qRnXyxlHNcbIbh,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-06-13 14:22:49.381
lead_uYyii9otdlraiLlZlGvatgRPhMzFOpbrIDldAYCELRr,acti_oajTTdzAn4DpKIL5n985ybwoKjqHTuEuNFGphAM6VDa,3) Triage Call,published,,,,,user_6b819bca77a690f65279b48dd406d9e8,2026-05-23 16:20:00.654
lead_ualmBGvwFilTKMTkeFr6ZPMwwDNtyy9ouABO7p8QiYc,acti_k0qRo7ZEqYEzJw1HFAM7UOyErLL0dhjcnEZs5eRYgAB,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-05-28 13:35:49.274
lead_ucOYggDviIC56BjBGvOFPMjzRxLLV8qFxRbdRuLKvN6,acti_sEQhtMdg2W7G1OVhuUgvS96OBv859qIALyaFXWbeiku,3) Triage Call,published,,,,,user_b18ad51ebc13520a620f3ccdaba48c2c,2026-06-24 14:47:58.734
lead_uckdMpZUCqIK90XMqLMvvwnAlIkIYLMkyloGbsIyFUO,acti_TfHpAHfgPGKAgNSnJC24jUUkKjYOWuZ8vwYw6ofggSa,3) Triage Call,published,,,,,user_15b5943e59ca209dad261abaa4017958,2026-06-18 21:31:54.619
lead_ufShcvSIwGThPmZuORUQ6DMUACk1OBNylt49HJi1vlV,acti_Pd72WaW2Ow5TmN10NKGnYP27Ts0Ylci2eVBGVW1Qbly,3) Triage Call,published,,,,,user_d71fd42f0d973ea716507bc8a081287e,2026-05-08 22:58:19.338
lead_ufaOnCT1DT05Zi4Kx939FLx7fTDdvqDvO0zEoGGCX6O,acti_4nXEIDXEYO7YzS92f3qlIQjAomWDqd5YnOrrAwSbYQA,3) Triage Call,published,,,,,user_0c3d01cc5b20f94522515f0443750b1a,2026-06-13 22:35:35.708
lead_ufi0xvQCcLXcaV11vmL4zjXTwQ5rsK5M9CKmeFJX6NV,acti_nQpti47kgILGK3IHJAtbyY9aldcb09oSaTJItNn8TJ8,3) Triage Call,published,,,,,user_57cb0290870f6004c5a17979f8d69eff,2026-06-21 16:18:22.414
lead_ug0fSMF1lr5AoivMeGJoQgFymKYmrX1dFszuMVXcLeg,acti_jJENvSCghC0wgX5rrCLzQK9VOpjDmfiYnZZvUvCEnDU,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-05-19 19:00:27.962
lead_uhyVN8pr3mwwrGXEFZG5cxC92xZ42fzl9fr7yLmnwM8,acti_KIw2ixSA9g8uvTwSkn0H4nGKWMn9nUieJDxmddNMJAP,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-05-06 20:10:24.476
lead_uiXjKmSdqsmIK7tRCep63hDWW6IO4LWcJ43JTrbRfNi,acti_XZJXojKjnw9vWD8v4acNdme8NBg4qVvXtdFJXmeaaRm,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-05-19 20:55:12.484
lead_ujxpEDNwQdD7lthlpMwvsYI9LM7TRcU2y812y4YYvmm,acti_MYU642iJOIsKWS4yLd0rlDHXkzqdjNypbZfEUSUSsFj,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-05-20 16:26:47.893
lead_ukJEO0sRNF7yw90PfLeIOWEuEp4adSVfJiszaJKHV4G,acti_XrMXLLHQ0qD8xu1x606FxknFQymS5rAjUIf4zZA55Bl,3) Triage Call,published,,,,,user_eb1efaee45a59705808492017b599a88,2026-06-11 15:52:42.345
lead_ukWNwwWSCWbrmVkCBoCbMGxplgt3qiUl14AUMwftYez,acti_EXMUBLWZDCUYcbQUdjl508Eu1Oa7EEmDLKcLe54Kt0Z,3) Triage Call,published,,,,,user_4a7afae8558035b472388a48786373fb,2026-05-17 20:15:15.877
lead_ukgUdv0qUsppitxO4XpFITR2l43DhN6TtKRKGBuGCup,acti_gP3D5AFqGNy4t1FnnvN7x8S9lEfuWKUENCe8AA8twpm,3) Triage Call,published,,,,,user_e3c43c22e7f8f1802c89cf46498f92d0,2026-05-06 13:21:47.799
lead_ul0IFwcPSZnuEF0ofhgJ7sxvI5SUOttc1EbzuuUzKXz,acti_UqVOdbAAefGn9bYoYphJa71CDT73zBDTn8Iqqtyh0Pm,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-03-31 19:51:08.623
lead_upUckmECvEwIg6aCxXwwNDDA1dJXi52JqOKT45SLcHP,acti_FzVWy2w2F8Aoo3YEEguFc37DciBD6eQTKL54lt56xkI,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-03-20 19:06:48.302
lead_uqOWTrBRmz5mIYsU9MIedmSHxqt4Q0E3NIOUKc3umqI,acti_Xicra4qrE5d8Y7ul6xyXmXyYzDY0H1JTuASL4Y5ek9q,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-06-16 18:17:39.550
lead_uqyRPYENdnX1eLZoL6lc8a4aFTxR0ka37xZxsGJM86Q,acti_0mgDcTWU9s8Zw09qPHXDIqwbdPyArPj8MACje6J1fL4,3) Triage Call,published,,,,,user_d71fd42f0d973ea716507bc8a081287e,2026-06-19 00:21:40.733
lead_ut0BtZeDqas81IkA0uF0bc2G7uOWwDXyxSDwzNARqoI,acti_35pJXG86AFmlrUx3WdSYYcC4oSDHqH2z0TfP17BiVTw,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-05-30 13:22:14.743
lead_utodXFcTj8m60FsxcUFiubhCKgXQfTGRjQtljDF7i9u,acti_vpspufdwUdByk5jKonwOcIxBLkg0sfndTC7YOIlzl7x,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-03-19 13:14:07.768
lead_utrSAnC9k8r64d8txJEeDyOz3FMc4z1B2PMPWehq44l,acti_i3vna0665vSh1c88HFfRezXTiygm1IFtsY1lGAIz9BL,3) Triage Call,published,,,,,user_6b819bca77a690f65279b48dd406d9e8,2026-06-07 14:18:37.395
lead_uuUDfADVxkD2uQJiUoA88FYguw9FsjEhwuIpzrF8ZMe,acti_aWSm12o82nhjk4qU0mcTRqCBOQ6fgnKmvc7iJcr9jtP,3) Triage Call,published,,,,,user_0c3d01cc5b20f94522515f0443750b1a,2026-06-12 22:52:41.425
lead_uuwuDYAMgodwEEa7n1qKljyilBEO9JXR3tqvJxutlVi,acti_3YpcVh8Dg1ClibpPvtjaRZI2gQbpUeycpbtBW817fWq,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-04-20 15:21:37.020
lead_uw1v3SZXoSuhitgwfOAQDXRgA0fGSOFw3O0JofDbYoR,acti_yMTstnBqK0T4nbGCqYd5uTaKsM7Cr3HBlHD2RVHDlAr,3) Triage Call,published,,,,,user_706491d9fb0211ba6d064d9f84e8dec2,2026-05-14 13:58:29.243
lead_uyaAIRqClcPSdjDCFEcPCWa8cOndLNF2tHag0UhHkHi,acti_MHUmfBrgbMPQS97t5jofiLStJ3BhMqBFAK4xdJM7JL2,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-05-29 17:02:33.247
lead_v05Yl8dEltjU0L2Zo09lC31p8dDqgl1IqiewXjd2dMm,acti_qYmUKpyZW0A11RsMF35fvyicJ8iaeRArthnUBslRhis,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-06-11 14:30:06.753
lead_v0G4u4JLx6ewVySiM5tS9ms9gyuIV0mtxBKXSXglaHa,acti_xg2eqytMnI9ggzBJj5d6126baVtlFUPzgWF01v1uRDc,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-06-15 17:33:37.430
lead_v10de206uGs7lIu2SK2IV3TpKdZwzHYsSUlmt5qtaVx,acti_vEIhoym6hRsuiEmd0hm6k1Ch4t0UkokZa8IueP5hIb4,3) Triage Call,published,,,,,user_e3c43c22e7f8f1802c89cf46498f92d0,2026-04-08 19:39:13.274
lead_v3HHWvQFEoCn4I3MpIQonRXOg3wGopGVfXDgR72kTZD,acti_uuQaZH1ILI4mZmJxtGcnhBfWaRgWkO5Sx7EUfcsgrpv,3) Triage Call,published,,,,,user_0c3d01cc5b20f94522515f0443750b1a,2026-04-01 21:49:24.950
lead_v4BVFcGBErBiU9OXvdJbRjs6izJ7BckI0rcW5pRdVFA,acti_OdegY4qpftXvNWJBRhZKOHE52Va6yCHdcKF5ctVEus1,3) Triage Call,published,,,,,user_e3c43c22e7f8f1802c89cf46498f92d0,2026-05-18 20:05:07.071
lead_v6V2Et6F4OYhlRlen8EROGktgHzbeGBflziDl9s2RwN,acti_Ah7u7vZNb419rNaaOFgTvaT1U3DJkx9zeQSYv8MG5N0,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-05-18 17:18:54.594
lead_v6qCCyDBkxjcgP8PZejuTKmfxTRqITPIEwS92ckmvNK,acti_SVMnWnkZGUf9Su8PF4QglyvLmVvlwWOBanRjLn87zmP,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-04-10 13:34:15.024
lead_v7NDIQ3qlarJ9OlMRyYeAPC0anMKCn7cqy5xwQlLEyw,acti_bZgLaDBje2c55p4fXQVGC1rmw2jtZ9z7Wpep4eyTGiO,3) Triage Call,published,,,,,user_735d387e241b43ccd9a0ed3ad6151e80,2026-06-17 18:17:05.292
lead_v8RjO7q2IJPYHtKNp0QDGLT13IsDtdr9IHVfE5F1b1A,acti_7CS6KzzCXqD5lYvx21KfCqft6TzYJDP8vgNfFZgZQkk,3) Triage Call,published,,,,,user_1753cd0222d027851d7849f566d9eab4,2026-06-23 22:05:21.454
lead_v8RjO7q2IJPYHtKNp0QDGLT13IsDtdr9IHVfE5F1b1A,acti_EA9U2BYJaF9kNDN7Y1J7hGPonZFIl77XZBopjCEVUx9,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-06-23 16:35:20.269
lead_v8n6hGgFzDoElEoNEeaQvXNuNJbM4SC3Rmsx49kds0k,acti_RGC22qZQiDx1H1qcoH6iiQBTx2eE5oOnWekbUc0r6g4,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-06-03 12:43:31.756
lead_v9KLJJop3UfqHCbZlO6iMUjLelhtWY8KfCmHgmn6drl,acti_K0Y0OtrrHlqidxTG7fKOAWDt3cgUPVZfSR29WOk0D1Q,3) Triage Call,published,,,,,user_1ec50a87f6c9e385025e009b58100e6f,2026-04-10 09:58:04.192
lead_v9gnE3N0YoZfZHsUHPcx4GJwvBr0aPu63fLeqR6la5d,acti_0On8nxkFo88ZLCaNghMGqLe4FUFSIgBwuPPVZOoZZL2,3) Triage Call,published,,,,,user_0c3d01cc5b20f94522515f0443750b1a,2026-05-04 13:22:44.388
lead_vCGZp4Y4YjJ6ePiKawjK24S8ANVN80xgasoVk477N3E,acti_mRDefFCCdLGTKXENzuvRTCHROzXrGRn6kylVPpQhpXw,3) Triage Call,published,,,,,user_4a7afae8558035b472388a48786373fb,2026-04-25 21:16:01.403
lead_vDokNOrJdqM4i4ZmLUdIqRfwru3tR2zVIyRsjjZZtZZ,acti_KRhzrOWEMyVeLkDu2KFUVv74XyNZMrAr8pn4C0evgmj,3) Triage Call,published,,,,,user_8cd22d8068318c61d442dcb2092ad3b3,2026-04-15 18:57:18.170
lead_vEAIyEnRxzaxKzIqXdMhXwrsupMG9FRlf1i6z34IYuA,acti_2Vfrbi9itW5mbAW6Y3g9zGB7FADN5KxAcGHWGWfU9TD,3) Triage Call,published,,,,,user_a8a96f94add8fe418f964354350842d5,2026-06-08 15:00:06.366
