CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,TOTAL
0) Pipeline Update,,155
1) Prospecting Activity,,10046
10) Call Confirmation Activity,,421
11) Post-Sale Activity,,133
12) Onboarding Complete,,243
13) New Deposit,,47
14) Backend Sale,,77
15) Refund Request Initiated,,23
2) Prospecting Follow Up,,1386
3) Triage Call,,3463
4) Triage Call Follow Up,,26
5) Strategy Call,,4128
6) Strategy Call Follow Up,,809
7) New Sale,,270
9) Additional Cash Collected,,45
Backend Sale Pitch,,14
Fathom Call,,11629
New Referral Generated,,9
Payment Transaction,,229
Referral Ask,,47
Refund Decision,,19
Setter Hand Off Notes,,151
Slack User Removal,,258
,,1030000
