OBJECTIONS_FACED,TOTAL_ROWS
"[""No Show""]",1597
"[""Money""]",497
"[""No Objections""]",479
"[""Think About It""]",291
"[""Logistical""]",160
"[""Partner""]",114
"[""Logistical"",""Money""]",80
"[""Time""]",77
"[""Money"",""Think About It""]",77
"[""Money"",""Partner""]",70
"[""Wasn't Looking For What We Offered""]",66
"[""Trust""]",40
"[""Money"",""Value""]",36
"[""Value""]",32
"[""Money"",""Time""]",26
"[""Fear""]",25
"[""Money"",""Trust""]",22
"[""Fear"",""Money""]",20
"[""No Objections"",""No Show""]",16
"[""Money"",""Think About It"",""Time""]",14
"[""Logistical"",""Partner""]",14
"[""Partner"",""Think About It""]",12
"[""Fear"",""Think About It""]",12
"[""Fear"",""Money"",""Think About It""]",11
"[""Think About It"",""Time""]",11
"[""Logistical"",""Think About It""]",10
"[""Hung Up""]",10
"[""Talking to Other Coaches""]",7
"[""Money"",""Trust"",""Value""]",7
"[""Logistical"",""Money"",""Time""]",7
"[""Think About It"",""Value""]",7
"[""Money"",""Partner"",""Think About It""]",6
"[""Fear"",""Logistical"",""Money""]",6
"[""Logistical"",""Money"",""Partner""]",6
"[""Fear"",""Money"",""Partner""]",6
"[""Fear"",""Money"",""Trust""]",6
"[""Logistical"",""Time""]",6
"[""Money"",""Partner"",""Trust""]",5
"[""Money"",""Think About It"",""Value""]",5
"[""Money"",""Time"",""Trust""]",5
"[""Talking to Other Coaches"",""Think About It""]",5
"[""Money"",""Talking to Other Coaches""]",5
"[""Think About It"",""Trust""]",5
"[""Money"",""Partner"",""Time""]",5
"[""Partner"",""Time""]",5
"[""Think About It"",""Trust"",""Value""]",4
"[""Fear"",""Trust""]",4
"[""Logistical"",""Money"",""Think About It""]",4
"[""Trust"",""Value""]",4
"[""Money"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",3
"[""Logistical"",""Money"",""Think About It"",""Time""]",3
"[""Money"",""Partner"",""Think About It"",""Time""]",3
"[""Trust"",""Wasn't Looking For What We Offered""]",3
"[""Money"",""Think About It"",""Trust""]",3
"[""Logistical"",""Partner"",""Time""]",3
"[""Logistical"",""Money"",""Wasn't Looking For What We Offered""]",2
"[""Fear"",""Money"",""Time""]",2
"[""Logistical"",""Think About It"",""Time""]",2
"[""Money"",""Wasn't Looking For What We Offered""]",2
"[""Partner"",""Value""]",2
"[""Fear"",""Time""]",2
"[""Logistical"",""Money"",""Trust""]",2
"[""Money"",""Trust"",""Wasn't Looking For What We Offered""]",2
"[""Fear"",""Logistical""]",2
"[""Fear"",""Logistical"",""Money"",""Trust""]",2
"[""Money"",""Time"",""Value""]",2
"[""Fear"",""Logistical"",""Money"",""Think About It""]",2
"[""Time"",""Wasn't Looking For What We Offered""]",2
"[""No Show"",""Wasn't Looking For What We Offered""]",2
"[""Fear"",""Partner"",""Think About It""]",1
"[""Talking to Other Coaches"",""Trust""]",1
"[""Money"",""Time"",""Wasn't Looking For What We Offered""]",1
"[""Fear"",""Partner""]",1
"[""Hung Up"",""Logistical"",""Money""]",1
"[""Logistical"",""Value""]",1
"[""Fear"",""Money"",""Partner"",""Think About It""]",1
"[""Think About It"",""Time"",""Value""]",1
"[""Fear"",""Money"",""Think About It"",""Time""]",1
"[""Partner"",""Talking to Other Coaches"",""Think About It""]",1
"[""Talking to Other Coaches"",""Think About It"",""Trust"",""Value""]",1
"[""Think About It"",""Time"",""Trust""]",1
"[""Fear"",""Think About It"",""Time""]",1
"[""Logistical"",""Money"",""No Objections""]",1
"[""Fear"",""Money"",""No Show""]",1
"[""Talking to Other Coaches"",""Time""]",1
"[""Logistical"",""Money"",""Trust"",""Value""]",1
"[""Hung Up"",""Money"",""Trust"",""Value""]",1
"[""Time"",""Value""]",1
"[""Think About It"",""Wasn't Looking For What We Offered""]",1
"[""Fear"",""No Objections"",""Trust""]",1
"[""Money"",""Think About It"",""Trust"",""Value""]",1
"[""Logistical"",""Money"",""Think About It"",""Trust""]",1
"[""Fear"",""Think About It"",""Trust"",""Value""]",1
"[""Partner"",""Talking to Other Coaches""]",1
"[""Partner"",""Time"",""Trust"",""Value"",""Wasn't Looking For What We Offered""]",1
"[""Logistical"",""Money"",""Value""]",1
"[""Value"",""Wasn't Looking For What We Offered""]",1
"[""Partner"",""Trust""]",1
"[""Trust"",""Value"",""Wasn't Looking For What We Offered""]",1
"[""Partner"",""Think About It"",""Time""]",1
"[""Talking to Other Coaches"",""Think About It"",""Value""]",1
"[""Logistical"",""Trust""]",1
"[""No Show"",""Time"",""Wasn't Looking For What We Offered""]",1
"[""Money"",""No Show""]",1
"[""No Objections"",""Talking to Other Coaches""]",1
"[""Logistical"",""Partner"",""Trust""]",1
"[""Time"",""Trust""]",1
"[""Logistical"",""Partner"",""Think About It""]",1
"[""Fear"",""Money"",""Partner"",""Time""]",1
"[""Fear"",""Partner"",""Time""]",1
"[""Hung Up"",""No Show""]",1
"[""Fear"",""Talking to Other Coaches""]",1
"[""Money"",""Talking to Other Coaches"",""Trust"",""Value""]",1
"[""Fear"",""Hung Up"",""Logistical"",""Money"",""Trust""]",1
"[""No Objections"",""Trust""]",1
"[""No Objections"",""Partner""]",1
"[""Fear"",""Hung Up"",""Logistical"",""Money""]",1
"[""Logistical"",""No Objections""]",1
"[""Money"",""Time"",""Trust"",""Value""]",1
"[""Fear"",""Money"",""Think About It"",""Trust""]",1
"[""Logistical"",""Money"",""Partner"",""Think About It"",""Time""]",1
"[""Hung Up"",""Money""]",1
"[""Money"",""Partner"",""Think About It"",""Value""]",1
"[""Talking to Other Coaches"",""Value""]",1
"[""Money"",""No Show"",""Partner""]",1
"[""Money"",""No Objections""]",1
"[""Fear"",""Logistical"",""Money"",""Time"",""Value""]",1
"[""Fear"",""Think About It"",""Trust""]",1
"[""Fear"",""Logistical"",""Time""]",1
"[""Logistical"",""Think About It"",""Trust""]",1
"[""Think About It"",""Time"",""Trust"",""Value""]",1
"[""Talking to Other Coaches"",""Wasn't Looking For What We Offered""]",1
"[""Hung Up"",""Money"",""Trust"",""Wasn't Looking For What We Offered""]",1
"[""Money"",""Think About It"",""Time"",""Trust"",""Value""]",1
"[""Logistical"",""Money"",""Partner"",""Talking to Other Coaches"",""Think About It"",""Trust""]",1
