ACTIVITY_ID,LEAD_ID,CLOSER_NAME,ACTIVITY_AT,OBJECTIONS_FACED,OBJECTION_DATA_TYPE
acti_h91Vdk3JlzuYu4TxAk0f4BTAzCqtKY9dQfeZGzQbqoW,lead_pn2UJOFZR8GhgtqclY3pRKLukwjuRExDaATuGJHxekn,Mahmoud Toblany,2026-05-28 14:28:58.266,"[""Think About It""]",VARCHAR(16777216)[LOB]
acti_n2kjYdWWZdjSURzu2lkdSXqYL1n96jlOf1MS6mescGH,lead_pn2UJOFZR8GhgtqclY3pRKLukwjuRExDaATuGJHxekn,Mahmoud Toblany,2026-05-28 10:21:52.515,"[""Partner"",""Think About It""]",VARCHAR(16777216)[LOB]
acti_Dhi0SQEUX0nz3ZYpWlLha5yZE9Z3HwVgT0pgGknQvM9,lead_podhNHBybpRyn5cHtls06FMlWd2N2OWiJYfAOVBvM8l,,2026-06-08 05:32:48.553,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_Vn2xCs3RSTcrt28l8eOSBqGuqtN0NAieHBdlTqSfq8j,lead_podhNHBybpRyn5cHtls06FMlWd2N2OWiJYfAOVBvM8l,,2026-05-02 22:52:17.407,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_85G8Q2Vwfr8jmpIf4o6hsQMMhi4u2NdfSyxJYM6Z4UH,lead_hH7WdwNlE6FLnLnJjzOEG72rjvC5oObu0Uj3Q1rcZ7m,,2026-04-18 00:21:53.565,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_rfVxcpGMe7I3trxD06r0qt5yyS2WoMNgc3rjYC9xUsf,lead_hK32QbXDdUhl7AIWYdM8LCmAUFuKrin0Fd0c9pg6YOM,,2026-06-02 23:28:40.566,"[""Think About It""]",VARCHAR(16777216)[LOB]
acti_VR7cQUrdPPdC73JZ5F4HixMcBlNhP6cz9nctxTzA7Ob,lead_hLItNXqIw7N4fY1znjWbffnXlypBmC8lUYNOK6YK3QY,,2026-05-07 22:04:09.052,"[""No Show""]",VARCHAR(16777216)[LOB]
acti_ZyBBef1PLQOWp3DUomWSPAcklhhLEqNaBfbwTbb2Dej,lead_hLItNXqIw7N4fY1znjWbffnXlypBmC8lUYNOK6YK3QY,,2026-05-09 14:59:29.435,"[""No Objections""]",VARCHAR(16777216)[LOB]
acti_WQYv5yYRv5wTM6Fzw5zss9gOazlCwx6VJucnltJYyrR,lead_hLhtpH49J388aR8zChO5ThnIRk37XapVOQEIwW70K9p,,2026-06-08 22:23:41.314,"[""Trust""]",VARCHAR(16777216)[LOB]
acti_lCLNlWnXo61IbzYw3vtfLNXxeG6n8e0cky5JSdAlPo2,lead_hLpVn17wOuJ3Ee2EdegjmuoEcdyJwuHLxBzIMQUPY6b,,2026-04-17 03:01:29.154,"[""Logistical"",""Partner"",""Trust""]",VARCHAR(16777216)[LOB]
acti_D56556c7v367v3a49xu2iAjaZMSCvw0lDiEOmy7VFrW,lead_hM2rfDtGAWUMfZRVKgjZAjZyF3Ks3rOHAqMyaQGEbfG,Aly Samaha,2026-06-01 15:54:13.144,"[""Logistical"",""Think About It""]",VARCHAR(16777216)[LOB]
