CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,TOTAL_ROWS
1) Prospecting Activity,Prospecting Call Outcome,3. Follow Up,4298
1) Prospecting Activity,Prospecting Call Outcome,2. Strategy Call Scheduled,2146
1) Prospecting Activity,Prospecting Call Outcome,6. Not Interested,1856
1) Prospecting Activity,Prospecting Call Outcome,4. Unqualified,1347
1) Prospecting Activity,Prospecting Call Outcome,1. Triage Booked,218
1) Prospecting Activity,Prospecting Call Outcome,5. Inaccurate Contact,142
1) Prospecting Activity,,,39
2) Prospecting Follow Up,Prospecting Call Outcome,3. Follow Up,815
2) Prospecting Follow Up,Prospecting Call Outcome,2. Strategy Call Scheduled,262
2) Prospecting Follow Up,Prospecting Call Outcome,6. Not Interested,174
2) Prospecting Follow Up,Prospecting Call Outcome,4. Unqualified,84
2) Prospecting Follow Up,Prospecting Call Outcome,1. Triage Booked,40
2) Prospecting Follow Up,Prospecting Call Outcome,5. Inaccurate Contact,7
2) Prospecting Follow Up,,,4
