ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,ACTIVITY_AT,DATE_OF_SALE,CONTRACT_VALUE,CASH_COLLECTED
acti_sGC0MQzf47DTan6vuyXwAWA3qEu032vQqbC0nDGenLw,lead_00anWupx4RoQ8WX1h2y6hSRpWWxtHdJnZdLzhEHl0s5,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-05-29 10:12:58.091,,0,
acti_Qa7oRayHo9lTgTdDYzW386SPZ594Q0FPDfLcyciX85l,lead_00qwPLJGoJzdjzDrHIOJkr1U2OdB8nrBDATyas8M0eq,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-01 13:00:40.880,,20000,
acti_SibptCkfcNeZwhA5nhpDumXiUYWEClBKZnuzKZlQ6Dy,lead_02fp4oBHTaHWzkEeiImANZtw7zfdAO7wq5wibxGqTfq,actitype_3E85vFq3a06LlEzXT2N1kS,2026-04-12 16:35:01.063,2026-04-11,25000,25000
acti_QwRgFH1Eaj107E3gve6KdCsoFEEtsLmyhWxuNn1rDKo,lead_03Zq27oEs9FiSMbfOucGfSmwpHG0DyfKle5WqwvjFgs,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-06-03 22:29:51.830,,1111,
acti_hg4iwrIYLEiIT1OBOJuyKAnVVSsjpD8P0H3pExswBNI,lead_03Zq27oEs9FiSMbfOucGfSmwpHG0DyfKle5WqwvjFgs,actitype_0UClFQWNpy8T71EXBNHKYG,2026-04-05 20:48:14.815,2026-04-01,5000,0
acti_Y2N47WiO7t3fcPqP5FlgluLk1iIepn79Y3mTpcD5tGD,lead_05bHmBiyjZDT4pOUJrdxVDoP5BtmgR4PiuhgTcCIIOd,actitype_3E85vFq3a06LlEzXT2N1kS,2026-05-21 16:53:35.716,2026-05-21,25000,10600
acti_yX1Po1BoN5GBuoByMfo9y7tmSxfnbvIkxh7JVn1O7lE,lead_06kP03vVVvKesKTRtcrwECpVJO5CnRKdqI3NyMCTHKG,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-04 13:44:55.756,,0,
acti_hXR23yUDgQEAMazLICgKD9UFL8Z5MOMRM6bNstKAeB3,lead_0757ksdRsDNlXnIbR5ldCvQ4GKczOodgQ3qT9tPa3fS,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-06-19 23:14:19.428,,22000,
acti_ozSGPesZRZeqrmMMPH0iDSX4VlGjGcZAhEouDw7SCTX,lead_0757ksdRsDNlXnIbR5ldCvQ4GKczOodgQ3qT9tPa3fS,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-18 00:11:37.515,,26000,
acti_Uat3exszeDGah1AVctTcko3UUqCNoQbmP5mk00uMGuJ,lead_0B540QtgNe5c4pXixCNIRsQ1NProRRzGfAFWlbGD2tf,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-06-18 18:59:54.310,,22000,
acti_sdRUr9E3VhWcCNAOveFCqnc8zem0NDEseRqHOBIZXPn,lead_0B540QtgNe5c4pXixCNIRsQ1NProRRzGfAFWlbGD2tf,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-18 18:59:29.614,,22000,
acti_WTF7iRCQZhZJseh7Qedl7aXY5Z4FgwpRElbCR6twTjB,lead_0Bg0tEZ2zkYRD2Blvx2TGCWQhQLHhsFDcMG0Csc2OaF,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-05-22 21:30:00.000,,23000,
acti_kmIgxEFicNhtdmcQqBeApEdHD5sz6zicrqaXXgIcmqW,lead_0EMgCQvG4Zi1rOgumXBQ7Wc5fuvQRAtTCheUHSM0TeZ,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-06-10 20:36:19.059,,10000,
acti_I2wUFnuHB6sF2dYfy4WV2DboqDif4CyqmRtF0JoqUg9,lead_0F59XX9cAyRDIzrwZ3ybl1KnAMKcu6RQvNpf7C4OM3G,actitype_0UClFQWNpy8T71EXBNHKYG,2026-04-20 22:50:49.953,2026-04-21,6800,11000
acti_PcGV2q54Tq1SwGlkX4DSGyyAHSWhjhjCbsgLmlzWgHj,lead_0F59XX9cAyRDIzrwZ3ybl1KnAMKcu6RQvNpf7C4OM3G,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-04-01 21:30:00.000,,20000,
acti_QcGmE0FOkwaQvb8KVZ1M1dfKgaQuRn4bZxYuqH89oYw,lead_0F59XX9cAyRDIzrwZ3ybl1KnAMKcu6RQvNpf7C4OM3G,actitype_3E85vFq3a06LlEzXT2N1kS,2026-03-29 00:02:58.665,2026-03-27,22000,8800
acti_ix9Auh6CPjX9pJkw26qs8mdbwnS0io6pc8fzRnJKgcb,lead_0F59XX9cAyRDIzrwZ3ybl1KnAMKcu6RQvNpf7C4OM3G,actitype_0UClFQWNpy8T71EXBNHKYG,2026-04-21 16:25:51.315,2026-04-21,11000,6800
acti_pdRXaPtrl4PjaD5up2GTJIBJo8E8IO0egEcpIB5MnJ9,lead_0F59XX9cAyRDIzrwZ3ybl1KnAMKcu6RQvNpf7C4OM3G,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-03-29 00:02:20.213,,22000,
acti_uIMWGa70wDhxgs8pPVxocNCPazZ5inOp4GyTEvexW95,lead_0FlRbLEINZ8tsul6EquUsILFOCUvOtlZnl9lusMgz0z,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-18 19:04:53.806,,0,
acti_irX38mGgvMdmhasJkveLUI2ookTEiJmuKMl2xi6n5d3,lead_0I9Sb18yMVBMxnUmFXPIqlkQHDUV8JtKAEqSwn83iEz,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-03-25 01:59:28.537,,20000,
acti_j2pjyPltEgVVccRdBbIkhnQyxJ3m2ClvqSrOqDILXIY,lead_0ODpNuTeOWVdLJtmcFz1zrjRK0FKVCKjTk0tihH8m2g,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-17 18:48:47.087,,12000,
acti_hmcHbAk2u6MEU5kFRGTOVfw4k1fVldIwlmjvHAUvraG,lead_0OgKD3hVbRROodk0d3pEW7I8aoosfH5w33JoW3YcfwZ,actitype_6IrDujYE2WKg9QCFJdpXJk,2026-06-02 20:30:00.000,,20000,
acti_1JJHVYSXll5bc2PGfSUPhX9grRs2AnzAtumWqfmJeEC,lead_0R3rDCAobe6dRcdko0uRroTyZJfzKIO61Mk7dwUXB5o,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-05 16:01:54.277,,500,
acti_1SEpXMboJDjq5xzs4mYLMadXmyUrFnKM4IFDHlDICKu,lead_0R3rDCAobe6dRcdko0uRroTyZJfzKIO61Mk7dwUXB5o,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-05 16:02:14.297,,500,
acti_erTuhUklTWTs1XKcFJyLv75wfRT47iUpGfEgigtdesl,lead_0R3rDCAobe6dRcdko0uRroTyZJfzKIO61Mk7dwUXB5o,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-04 05:43:13.921,,0,
acti_EhaxVNuXWK0hJZLD6ZEjcWiTPzP4Kj2OjQaqFYg5FKI,lead_0UM1DhifESbmMqpyNTAM8CMd1yb2SQJv2LOR4QGdf9h,actitype_2VcSfZQX6FeIL8kkxy48C2,2026-06-20 16:35:09.089,,25000,
