ACTIVITY_ID,LEAD_ID,CONTACT_ID,USER_ID,TYPE,TEXT,STATUS_CHANGE,CREATED_BY_NAME,UPDATED_BY_NAME,ATTENDEES,CUSTOM_ACTIVITY_ID,MEETING_STARTS_AT,MEETING_END_AT,MEETING_STATUS,ACTIVITY_AT,DATE_CREATED,DATE_UPDATED,CREATED_BY_USER,UPDATED_BY_USER,INSERT_DATE,UPDATE_DATE,MD5_HASH
acti_kI3vmva8yEF5xaWzWPVPuQFqMJjsMS1O41q4z0cRj6z,lead_xChCAZ3ZCGqj7VgyM4Tl0sxqDeBM9I7GNr0Qgpa1lY6,cont_3dESQRsxkh01HshXy28RUPZivm7KNwyv1Ch10wtuCgl,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,Call,,no-answer,user_60225a211029507667a5680de29d0ec8,user_60225a211029507667a5680de29d0ec8,,,,,,2026-04-04 03:53:07.206,2026-04-04 03:53:07.206,2026-04-04 03:53:27.616,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,2026-06-02 11:01:18.299,2026-07-01 09:18:29.364,3ec749d3276e84eeaf4e5074aed5ce20
acti_q5l8FC5cIBS2ypG2aMmnctDzpEaCjVfOKJBp0dGQrRv,lead_xChCAZ3ZCGqj7VgyM4Tl0sxqDeBM9I7GNr0Qgpa1lY6,cont_3dESQRsxkh01HshXy28RUPZivm7KNwyv1Ch10wtuCgl,user_NFm5OymIr3dZ6W4FkeUaeOFyQ3dl4vx6fQpEaXYDy3n,Call,,no-answer,user_baea43d84e5e5b8fc97a69c43f152433,user_baea43d84e5e5b8fc97a69c43f152433,,,,,,2026-05-12 17:35:27.416,2026-05-12 17:35:27.416,2026-05-12 17:35:48.189,user_NFm5OymIr3dZ6W4FkeUaeOFyQ3dl4vx6fQpEaXYDy3n,user_NFm5OymIr3dZ6W4FkeUaeOFyQ3dl4vx6fQpEaXYDy3n,2026-06-20 11:01:31.515,2026-07-01 09:18:29.364,e4d960c3a44d46321aadab18115c7d4f
acti_qm4H3kagAVcd4k3z2yFw2m8TUBDYdL4YtB8bjAFo8lV,lead_xChCAZ3ZCGqj7VgyM4Tl0sxqDeBM9I7GNr0Qgpa1lY6,cont_3dESQRsxkh01HshXy28RUPZivm7KNwyv1Ch10wtuCgl,user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw,Call,,no-answer,user_8824fec483469f25df69082fb72664de,user_8824fec483469f25df69082fb72664de,,,,,,2026-06-11 20:29:44.731,2026-06-11 20:29:44.731,2026-06-11 20:30:17.050,user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw,user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw,2026-06-20 11:01:31.515,2026-07-01 09:18:29.364,f8483a1b4e414bffae40dde12d8cadbd
acti_uv2yX0OMaXvaI3alz7GGUPQ1OebGm6OHCL4z4dkQkbT,lead_xChCAZ3ZCGqj7VgyM4Tl0sxqDeBM9I7GNr0Qgpa1lY6,cont_3dESQRsxkh01HshXy28RUPZivm7KNwyv1Ch10wtuCgl,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,Call,,no-answer,user_60225a211029507667a5680de29d0ec8,user_60225a211029507667a5680de29d0ec8,,,,,,2026-04-29 02:33:04.284,2026-04-29 02:33:04.284,2026-04-29 02:33:24.663,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,2026-06-20 11:01:31.515,2026-07-01 09:18:29.364,66e652695303ebdd323f20b4ecd437c3
acti_yO7s3vaVclG0PfrSCzSdkKH1dYLUEjL2alRoRozHvWP,lead_xChCAZ3ZCGqj7VgyM4Tl0sxqDeBM9I7GNr0Qgpa1lY6,cont_3dESQRsxkh01HshXy28RUPZivm7KNwyv1Ch10wtuCgl,user_wPol5lzsYHal2Y3c3Sbd6S4cbFPWDRGgNrLDypo8yFK,Call,,no-answer,user_1bdb77157022e8a1f51ac6a0b7f4ae6f,user_1bdb77157022e8a1f51ac6a0b7f4ae6f,,,,,,2026-06-01 20:25:25.463,2026-06-01 20:25:25.463,2026-06-01 20:25:58.133,user_wPol5lzsYHal2Y3c3Sbd6S4cbFPWDRGgNrLDypo8yFK,user_wPol5lzsYHal2Y3c3Sbd6S4cbFPWDRGgNrLDypo8yFK,2026-06-20 11:01:31.515,2026-07-01 09:18:29.364,3925c36bccca7541e52566a961eec138
acti_1g27AFwb3ljXnhcDSfFfpjEKe9LrzphHa3XltTpsEgv,lead_xCkgmCVFEZffKTEapmKMXUaPWh5X9QvKxkK5IPUyIAx,cont_JcJgljjVrTgUiEVrzcd6awvvYYKHUx12CKSKETbt80N,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,SMS,user_df90230b90a1bd208cf84cf8a0059dcd,sent,,user_6b819bca77a690f65279b48dd406d9e8,,,,,,2026-04-29 21:04:59.815,2026-04-29 21:04:58.695,2026-04-29 21:04:59.815,,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,2026-06-05 11:01:31.500,2026-07-01 09:18:29.364,dbaa3908bce89090bda545b9ed51f80c
acti_1paYV3SEcT3JxMi0oeVh5rYN30BOdXTMDtuzW2N7f36,lead_xCkgmCVFEZffKTEapmKMXUaPWh5X9QvKxkK5IPUyIAx,cont_JcJgljjVrTgUiEVrzcd6awvvYYKHUx12CKSKETbt80N,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,Email,,sent,,user_6b819bca77a690f65279b48dd406d9e8,,,,,,2026-04-22 17:05:18.248,2026-04-22 15:58:46.006,2026-04-22 17:05:21.545,,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,2026-06-05 11:01:31.500,2026-07-01 09:18:29.364,b97e3eb7205008fead96acd7edb93401
acti_54co05yyaTcBBk3Kk67tXQR2E80O5jnnNV52rVJq1Y4,lead_xCkgmCVFEZffKTEapmKMXUaPWh5X9QvKxkK5IPUyIAx,cont_JcJgljjVrTgUiEVrzcd6awvvYYKHUx12CKSKETbt80N,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,SMS,user_679cf026bfa30c752dd2fc3843cb5614,sent,,user_6b819bca77a690f65279b48dd406d9e8,,,,,,2026-04-22 17:05:20.197,2026-04-22 17:05:19.709,2026-04-22 17:05:20.197,,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,2026-06-05 11:01:31.500,2026-07-01 09:18:29.364,d81deb119e689c25080cf29b7889d052
acti_9c5e6KueAPfC6iLOsMCmtcwI6eT78RJ14mF7YUOypes,lead_xCkgmCVFEZffKTEapmKMXUaPWh5X9QvKxkK5IPUyIAx,cont_JcJgljjVrTgUiEVrzcd6awvvYYKHUx12CKSKETbt80N,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,SMS,user_66fc4f0bbda6f8f2b98c5695f8d64a83,sent,,user_6b819bca77a690f65279b48dd406d9e8,,,,,,2026-04-25 20:19:01.011,2026-04-25 20:19:00.269,2026-04-25 20:19:01.011,,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,2026-06-05 11:01:31.500,2026-07-01 09:18:29.364,0781836eea70531f6fc37052543f183d
acti_ChecgXrdkw6KiNEfSMkyFs9yLCzsGp7EOKL1VrlJQMG,lead_xCkgmCVFEZffKTEapmKMXUaPWh5X9QvKxkK5IPUyIAx,cont_JcJgljjVrTgUiEVrzcd6awvvYYKHUx12CKSKETbt80N,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,SMS,user_f200a128a7f1531b21cb258c7b416a00,sent,,user_6b819bca77a690f65279b48dd406d9e8,,,,,,2026-05-01 21:32:08.561,2026-05-01 21:32:07.735,2026-05-01 21:32:08.561,,user_K832YXZSkywK6kBUpWLah4ZrZlSgOxecw2jjsvdrYNa,2026-06-05 11:01:31.500,2026-07-01 09:18:29.364,69e1e4ac24304ffcade298538ca2855e
