ACTIVITY_ID,LEAD_ID,CONTACT_ID,USER_ID,TYPE,TEXT,STATUS_CHANGE,CREATED_BY_NAME,UPDATED_BY_NAME,ATTENDEES,CUSTOM_ACTIVITY_ID,MEETING_STARTS_AT,MEETING_END_AT,MEETING_STATUS,ACTIVITY_AT,DATE_CREATED,DATE_UPDATED,CREATED_BY_USER,UPDATED_BY_USER,INSERT_DATE,UPDATE_DATE,MD5_HASH
acti_Y4cV8k7zX93R4F5k4Ym44fxSNSp4E9wnyON8FrJXZM0,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,Call,,completed,user_1753cd0222d027851d7849f566d9eab4,user_1753cd0222d027851d7849f566d9eab4,,,,,,2026-05-27 23:11:03.956,2026-05-27 23:11:03.956,2026-05-27 23:11:52.081,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,66654d60a15174797e4d5d23bc3d9554
acti_ZKVhNtF7NvLOS5oHuyF7f0OjZQNXvmTyU1FGW5ZV4OZ,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,SMS,user_22b200afe351d16dc2ebc2c463214a60,sent,,user_d633919cb44d2c3327eb9dabcf593dc9,,,,,,2026-06-18 22:23:43.969,2026-06-18 22:23:43.304,2026-06-18 22:23:43.969,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,386f7231351011d5d848ab21aea04349
acti_cNyLZ8hTM1vZ0WRqsYoaKRmADyV6VVjl3v7PWmfw9Gr,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,Email,,sent,,user_d633919cb44d2c3327eb9dabcf593dc9,,,,,,2026-06-04 18:32:45.271,2026-06-04 18:24:45.871,2026-06-04 18:32:46.341,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,36d6ec547776867131280aded6866980
acti_gaWjAjk28E1s0aihAz3qEicfBlYwJC2dQyHjiOo4NYh,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,SMS,user_b1410ae437b2b0cded24d2119fadf120,sent,user_1753cd0222d027851d7849f566d9eab4,user_1753cd0222d027851d7849f566d9eab4,,,,,,2026-05-27 23:11:58.415,2026-05-27 23:11:43.787,2026-05-27 23:11:58.415,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,user_Dm9463lCTMPgUNfgHfr9EymJtgCeXnKfWlzudANv2W2,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,2190b255048d47f25a272714a48cc586
acti_pfWjD8pT76i7AWj9XdALSwrn5HaWlzjxPXzs42SasKV,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,Email,,sent,user_eb1efaee45a59705808492017b599a88,user_bdeed4dc0e110fc1ff924751708ed725,,,,,,2026-05-03 21:22:42.411,2026-04-30 09:27:59.068,2026-05-03 21:22:44.060,user_RoWq89U2oZOlTTfJScR9pTREnX3AAeNdKnw4YOOcYwG,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,399ba74b0fd1d5919282f540f520dba6
acti_rBInnOcFNGPfKDI2sVFGyHUXZ62Bq0vwRp9X5uoW9Tj,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,SMS,user_4e52c5cb76b71322f0fada28b28c3e1c,sent,,user_d633919cb44d2c3327eb9dabcf593dc9,,,,,,2026-06-08 13:56:36.095,2026-06-08 13:56:35.450,2026-06-08 13:56:36.095,,user_GneoEyuMMpnzmrtOK21rih7X3vENKVAkA7477rnqlwg,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,eb9cc97f05dd5c181afb734d8d65f32a
acti_vWENtGMr6yyG9XFjGWydASDP0QaB2pm2TyR9fEP8man,lead_7ljlsMpKhRDqfrQpJJOyYrG6ClGBRpBy7L8JJca7E5Y,cont_ku0Z5JlumZqpe7CrUxhRQ9MN5dlxXdZkWFlsWfI0L6i,user_GPSVmw9ICEc7t3tbW6V8b5fHW1nECi2Glgi6R1CWeSt,Call,,completed,user_68ea0f980581adfb9d545fa6e08d8ff2,user_68ea0f980581adfb9d545fa6e08d8ff2,,,,,,2026-05-01 15:21:55.989,2026-05-01 15:21:55.989,2026-05-01 15:22:41.764,user_GPSVmw9ICEc7t3tbW6V8b5fHW1nECi2Glgi6R1CWeSt,user_GPSVmw9ICEc7t3tbW6V8b5fHW1nECi2Glgi6R1CWeSt,2026-06-25 11:01:29.790,2026-07-01 09:18:29.364,54f30438b06dc11b4b26e2cb7f733a1f
acti_3C4GlHZy42g8EdsfQBQPqml4CLux5hY1of8ZEuw8iTf,lead_7lq9twkJJsZeL62oUsMFpF6qKEjKHnqMbKXrtMJzl4v,cont_00kkRTMXWOx6viPXnK8mOw7uLdbaScwVjFM89nIHDK0,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,Call,,completed,user_94f8b2f27b8730c4b1185064bdfb5733,user_94f8b2f27b8730c4b1185064bdfb5733,,,,,,2026-05-07 20:20:33.165,2026-05-07 20:20:33.165,2026-05-07 20:20:51.355,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,user_FnIhxe126CBgAcJ6PBUKTBaoLPccccS3xQBFYba2Tx8,2026-05-22 11:01:33.759,2026-07-01 09:18:29.364,a43e8cf25634fccfe335dc826e23bc5b
acti_BfzzPnaDkW2kzvaFDdv17ynF20AigUhNentUU9nZQFZ,lead_7lq9twkJJsZeL62oUsMFpF6qKEjKHnqMbKXrtMJzl4v,cont_00kkRTMXWOx6viPXnK8mOw7uLdbaScwVjFM89nIHDK0,user_XnKmrJuiUwEvJGS85PrOuTtojNCUmMlrT3iJnWxgUBq,Call,,completed,user_d8aa3c20da5a918e32807596b81ab896,user_d8aa3c20da5a918e32807596b81ab896,,,,,,2026-05-21 13:52:22.191,2026-05-21 13:52:22.191,2026-05-21 13:54:28.263,user_XnKmrJuiUwEvJGS85PrOuTtojNCUmMlrT3iJnWxgUBq,user_XnKmrJuiUwEvJGS85PrOuTtojNCUmMlrT3iJnWxgUBq,2026-05-22 11:01:33.759,2026-07-01 09:18:29.364,ec76cf4575a4c6298292aab28efdd0b0
acti_Ca40hKZ1sfyiVLMVXKYomHIqQBCljxsdf5vXQHkayou,lead_7lq9twkJJsZeL62oUsMFpF6qKEjKHnqMbKXrtMJzl4v,cont_00kkRTMXWOx6viPXnK8mOw7uLdbaScwVjFM89nIHDK0,user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH,SMS,user_56b744930620a936abc8505e3955fef7,sent,,user_880b1abc8ede92abe0654ec404f30dab,,,,,,2026-05-18 20:58:54.583,2026-05-18 20:58:54.041,2026-05-18 20:58:54.583,,user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH,2026-05-22 11:01:33.759,2026-07-01 09:18:29.364,16b8c58df1551581b235afe6e7f82cb0
acti_Q9huHFv2DJif5YxLakzYz6JXr8ZCD8cAG7VALm6o8Cn,lead_7lq9twkJJsZeL62oUsMFpF6qKEjKHnqMbKXrtMJzl4v,cont_00kkRTMXWOx6viPXnK8mOw7uLdbaScwVjFM89nIHDK0,user_vANGEHRi9i8snGRve4UuZwA1Pat9GQ83m9j4ptGGMnp,Call,,no-answer,user_39385f5fde72bb55e6f12abef719037f,user_39385f5fde72bb55e6f12abef719037f,,,,,,2026-04-26 20:35:14.191,2026-04-26 20:35:14.191,2026-04-26 20:35:34.573,user_vANGEHRi9i8snGRve4UuZwA1Pat9GQ83m9j4ptGGMnp,user_vANGEHRi9i8snGRve4UuZwA1Pat9GQ83m9j4ptGGMnp,2026-05-22 11:01:33.759,2026-07-01 09:18:29.364,981b948fd845240a8a16f86d675074d5
acti_RAizn8DM7oaZ5Ajbh5MOIx4n3j4ta53BSWvs4hH2vbl,lead_7lq9twkJJsZeL62oUsMFpF6qKEjKHnqMbKXrtMJzl4v,cont_00kkRTMXWOx6viPXnK8mOw7uLdbaScwVjFM89nIHDK0,user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH,Email,,sent,,user_880b1abc8ede92abe0654ec404f30dab,,,,,,2026-05-18 20:58:52.619,2026-05-18 18:31:27.993,2026-05-18 20:58:55.271,,user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH,2026-05-22 11:01:33.759,2026-07-01 09:18:29.364,a8777a4167cc4caa4feb04a592fb8ffe
