LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,DEA_INTERNAL_EMAIL,DEA_INTERNAL_NAME,ACTIVITY_AT,STATUS_CHANGE
lead_L9nQQf1JjPbDzJwR66wUw8XVQNx1YaQnoMYPSBSUS4k,acti_uc8Qw1QEJ8pFHZQILlMnlLrQkoRTGwbhaSrNRLvSTQn,5) Strategy Call,7. Lost,,,2026-05-28 02:23:18.862,published
lead_L9unbAXMNZLn7ngEjT2haDyPII2uuBVWiclKW0O4vkx,acti_Pw3Izau0B69HRL1lkxygzPMd7eMb1Kj1Li5yooceduT,5) Strategy Call,4. No Show,,,2026-05-18 21:45:03.330,published
lead_LCDpT8Esd9IJE0CyLc9iR42hhtJfRqylpxYdUtXE1DH,acti_0ndAvjXmwGqZpDfwNgjuNY6w57yNks1e9btewzlcbC7,5) Strategy Call,1. Follow Up,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-06-17 14:20:49.634,published
lead_LCDpT8Esd9IJE0CyLc9iR42hhtJfRqylpxYdUtXE1DH,acti_erk8r410d3pkJxlquiYv8Z6X7Qssca0FaNvYxL3OFio,5) Strategy Call,1. Follow Up,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-06-17 14:20:53.394,published
lead_LDIUt12fbDnO59C3fSDAUIdI4pgt3vJZdCbyfNRxeoi,acti_iyFKMkJXppZ4huoG7GZcb11DQeFwcl30EMFhR3ETQ77,5) Strategy Call,2. Admin Cancel,,,2026-04-17 13:22:31.703,published
lead_LDXbYw7S6xliQAnNtP25jL0pNiXAM1tbUukjF74fWn7,acti_9k0va5UOnDMvNuKusMAht4IZy9OpiN6YNiCH8Cqqw4v,5) Strategy Call,1. Follow Up,irtaza@dataengineeracademy.com,Irtaza Hussain,2026-04-10 14:21:29.688,published
lead_LEZv54Fehv8XrtWMJB4cckUKkamefutD3b91BfMSe1A,acti_RHy9C2wiU9KOknLSZXB54wyJayArmetn6N0Zkz5ovQi,5) Strategy Call,1. Follow Up,,,2026-04-03 18:36:26.710,published
lead_LGGUPCcNhDzkjR1ZRiiU0eKI9pSn5XNforsfTCOtPZE,acti_amU2RBzf7miYFPNe0A7bQn4gkYBCEwalvJVN6woiaZF,6) Strategy Call Follow Up,,,,2026-06-22 22:39:58.177,published
lead_LGmaaB9kaWZxC1j76fTUrMgZM6R3PcXoohmXTBbZvuq,acti_pqLmMtVBGlpYmxFFa9udQEyAIXf3tHdLQDRz8Bf56Xg,5) Strategy Call,1. Follow Up,,,2026-03-31 02:30:43.874,published
lead_LGqiJz8sMVeFVTcxDDt392Z4M4qIbnTSIWETLNF2AQW,acti_XKFHjnMwRna05sbAgLN1rJDCB9wRB7vz9gnUO2F3CHz,5) Strategy Call,1. Follow Up,,,2026-04-22 22:22:49.209,published
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_1HCpU5oMl5Kpi0vemmmshxmaVOphg9qnyaPQWBysjZH,6) Strategy Call Follow Up,,,,2026-06-13 20:31:55.877,published
