LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,TEXT,STATUS_CHANGE,WRAPPED_ACTIVITIES
lead_biniZ8rqg2adhiYAd6apaBLH1kDar8f9OVr2djZNDXC,acti_enD5WfBn3SI2Z2Z0dIHnfWJaicaAm9ONpUfnlwXMk7e,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_eb964e6ff875c4db5257e03522b1cf27"",
  ""CREATED_BY_USER"": ""user_JvRe8drlaldnJxjmbmFwR4B2BH5juhj0H9zfhQHo674"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-02 02:48:11.985"",
  ""DATE_UPDATED"": ""2026-06-02 02:48:19.370"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_eb964e6ff875c4db5257e03522b1cf27"",
  ""UPDATED_BY_USER"": ""user_JvRe8drlaldnJxjmbmFwR4B2BH5juhj0H9zfhQHo674""
}"
lead_binoRjCatfxSHTrXGL0ZhmgVNPxaIHXEIZmYXpaJq4h,acti_PW4DsYpdssIheE3ITQeovoKSfCMV34wwsBQ16owVAvd,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_4fe5a856b8d9b9e059cdc79c8d67acc1"",
  ""CREATED_BY_USER"": ""user_txrVKyfEn4qRAb8ZmNDI1D6ex9CL74iJFWiSRls84nY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-23 14:38:29.881"",
  ""DATE_UPDATED"": ""2026-05-23 14:38:45.347"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_4fe5a856b8d9b9e059cdc79c8d67acc1"",
  ""UPDATED_BY_USER"": ""user_txrVKyfEn4qRAb8ZmNDI1D6ex9CL74iJFWiSRls84nY""
}"
lead_binoRjCatfxSHTrXGL0ZhmgVNPxaIHXEIZmYXpaJq4h,acti_xnsmBBDd5Zi9YmD1D41FtaaeDhgwdoA8Lac9nuMWSLY,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_8cd22d8068318c61d442dcb2092ad3b3"",
  ""CREATED_BY_USER"": ""user_myWLFsY6kfsuqKjDVYzbN4qquUkpAJBnQB7l6znEzL0"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-25 13:47:23.171"",
  ""DATE_UPDATED"": ""2026-05-25 13:47:38.796"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_8cd22d8068318c61d442dcb2092ad3b3"",
  ""UPDATED_BY_USER"": ""user_myWLFsY6kfsuqKjDVYzbN4qquUkpAJBnQB7l6znEzL0""
}"
lead_bjKGXVqCHXjRcssJMASOGltiCSzcXsPrbb71donje8a,acti_yXXTtbgMVnXQHKi3ARZCdsyYP4KVyTPoOq4aCs1CKmr,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_1ec50a87f6c9e385025e009b58100e6f"",
  ""CREATED_BY_USER"": ""user_T7WuGoDnkZ2v5PVzlKT4g60rcN82JTCvlU7ydK2yYGa"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-18 15:43:11.246"",
  ""DATE_UPDATED"": ""2026-06-18 15:43:17.865"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_1ec50a87f6c9e385025e009b58100e6f"",
  ""UPDATED_BY_USER"": ""user_T7WuGoDnkZ2v5PVzlKT4g60rcN82JTCvlU7ydK2yYGa""
}"
lead_bjXWygOpm9YqvyHttyPHXh6E1GeLQn3Qw0qR7EMzSdt,acti_xOUTaOLseRibztCObmnta3A4GpPVV5hO6tXe3eEoBCN,2) Prospecting Follow Up,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_75613a3d80a70bc160355cc67df557d0"",
  ""CREATED_BY_USER"": ""user_1x5aaG5n9Tk5VE42qtmbInArqpssoifWhf6MQz8MLYM"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_6ga7msjJ7kZcH2rGtYETwe"",
  ""DATE_CREATED"": ""2026-04-30 23:51:32.796"",
  ""DATE_UPDATED"": ""2026-04-30 23:51:40.372"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_75613a3d80a70bc160355cc67df557d0"",
  ""UPDATED_BY_USER"": ""user_1x5aaG5n9Tk5VE42qtmbInArqpssoifWhf6MQz8MLYM""
}"
lead_bjZh7sWGCOTblJs483ZX6cqIVZffOYwnyqEJfkPDE63,acti_K0SnqLMm0p4ZUnTkyr7dOkNztdMTjN47Q2Lih6QXyiP,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_ef455182f78a40f937104f7337dd5deb"",
  ""CREATED_BY_USER"": ""user_comhidVwbB3f6AqMfDdiEbbDYW291Nw5XVZrSzajAEB"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-19 15:24:18.880"",
  ""DATE_UPDATED"": ""2026-05-19 15:24:42.425"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_ef455182f78a40f937104f7337dd5deb"",
  ""UPDATED_BY_USER"": ""user_comhidVwbB3f6AqMfDdiEbbDYW291Nw5XVZrSzajAEB""
}"
lead_bkTDVh14yvUtdQjME6KyaanGdKurYC6wIKUGxrPcOPX,acti_CLoDQdPgyYCmqNUzd00uFtoFvgEjwWQkI1gj0VkGQMx,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_60225a211029507667a5680de29d0ec8"",
  ""CREATED_BY_USER"": ""user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-04-02 23:05:38.855"",
  ""DATE_UPDATED"": ""2026-04-02 23:06:38.980"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_60225a211029507667a5680de29d0ec8"",
  ""UPDATED_BY_USER"": ""user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0""
}"
lead_bkTDVh14yvUtdQjME6KyaanGdKurYC6wIKUGxrPcOPX,acti_paUl3zlfwf88Y2fcgsZiyq2qCrLJYZHMXTDAukKG645,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_eb964e6ff875c4db5257e03522b1cf27"",
  ""CREATED_BY_USER"": ""user_JvRe8drlaldnJxjmbmFwR4B2BH5juhj0H9zfhQHo674"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-04 23:55:27.040"",
  ""DATE_UPDATED"": ""2026-06-04 23:55:38.018"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_eb964e6ff875c4db5257e03522b1cf27"",
  ""UPDATED_BY_USER"": ""user_JvRe8drlaldnJxjmbmFwR4B2BH5juhj0H9zfhQHo674""
}"
lead_bkeMjS9F89Hw73ZxRlZHPpGA1mhLckezINYT6nA4Azo,acti_jDVD0WtPmC0FMn7y0AOkF4v98MTEx0ow568cqWZ5C9l,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_880b1abc8ede92abe0654ec404f30dab"",
  ""CREATED_BY_USER"": ""user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-02 02:36:17.878"",
  ""DATE_UPDATED"": ""2026-06-02 02:36:24.725"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_880b1abc8ede92abe0654ec404f30dab"",
  ""UPDATED_BY_USER"": ""user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH""
}"
lead_bl0i2LKFDNLzaOn1vxGxc5qFBGpYMRd5cXS9fJkH07Z,acti_MsFnY3VBAIfHdaHSOa6a9GnbQw7Q2C1IENeg9GAAL06,1) Prospecting Activity,,published,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_baea43d84e5e5b8fc97a69c43f152433"",
  ""CREATED_BY_USER"": ""user_NFm5OymIr3dZ6W4FkeUaeOFyQ3dl4vx6fQpEaXYDy3n"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-15 19:43:50.092"",
  ""DATE_UPDATED"": ""2026-05-15 19:44:11.073"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_baea43d84e5e5b8fc97a69c43f152433"",
  ""UPDATED_BY_USER"": ""user_NFm5OymIr3dZ6W4FkeUaeOFyQ3dl4vx6fQpEaXYDy3n""
}"
