ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,PROSPECTING_CALL_OUTCOME,ACTIVITY_AT,DATE_UPDATED
acti_CHKSN53kkbyP92S7oluKB5q9iBgEUrR4ScYb83W5CgB,lead_00ANFS63kXSUoKJoHPGDcJsgHmDQuxfdT36zhwJmWzr,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-04-08 21:58:02.398,2026-04-08 21:58:08.011
acti_gCYsK1PzJoA0J9zCs8EVY1La7C0w45XOHVpjA9HOBNt,lead_00Df8uOFwSgJOD77QmOFpbttLoeqpdlgQJUOfsy1gL9,actitype_6ga7msjJ7kZcH2rGtYETwe,3. Follow Up,2026-05-05 22:22:56.989,2026-05-05 22:23:04.569
acti_laSR0oZxATQkZSpoY7inLzgo5FnYFSvVicmHtlqw7pb,lead_00Df8uOFwSgJOD77QmOFpbttLoeqpdlgQJUOfsy1gL9,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-26 23:01:34.628,2026-05-26 23:02:02.721
acti_iDFbLK7kuvDvAZyepTeNbxR3TRD0P90D9e7GTZgLNGy,lead_00vrKnZ8nJTMAzdIKBJVjrEwmoXwlL9f4feF6wA4DRj,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-18 12:31:08.383,2026-05-18 12:31:16.566
acti_5hk3ZFkBN6hwUH0h7RlYvSzwspcP4IaflNKisSlEEco,lead_013BrP6qRzx7riVnJxwxGR30ohSIROGj1cLB96sddns,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-06 18:51:53.546,2026-05-06 18:52:24.777
acti_T4qNGSVzdfZCei34TaB5kt7EqUEx0DONj3ekxr3FxUh,lead_02E06LY56bSiT0bNrJ3aEzS27B22mIKXTJyhBBUkLoi,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-04-29 21:58:23.227,2026-04-29 21:58:46.415
acti_6glIhYVKlZtsdHzarQcErIVxCUAcFs2Uygc6zrRIRVl,lead_02SjiORaaNOrfoh3cTOf1nc79Ut0woj7bZmhLGfNfLF,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-20 20:42:41.365,2026-05-20 20:42:47.159
acti_nDBLvln7AbRZCzRaPpRw646hu1VasDT0PFP48lMqbya,lead_02USZCgfOKBGUM7lcug1vo3hLOideotiHEsSilcYnRY,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-16 00:03:14.469,2026-05-16 00:05:33.862
acti_0T81VIN6a5IeGkhMh76orlWclcDKcbbuRu9tF2HockO,lead_02lhK5la82JfE7feganqadxZlDNnKXaqqMqiEBkpQQr,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-02 16:49:39.798,2026-04-02 16:50:22.918
acti_w2PlTnLuSvFhl0GKVkEjv60QE36wFcO7UmJlaQs7Dsg,lead_03Il9UBm2aJNUoKDsWdL7TeTRLXJ9G5WbsQ6lYx1ZrK,actitype_4tEv1xumZEk9vYYs7WxYy7,4. Unqualified,2026-03-30 15:46:52.620,2026-03-30 15:47:00.320
